experiment_type,ensemble_name,member_key,feature_config,model_name,prep_kind,n_members,n_columns,fit_seconds,status,error,split,threshold_strategy,top_fraction,n_flagged,positives_captured,precision_at_k,recall_at_k,base_rate,lift
history_heterogeneous_ensemble,score_average_top5_heterogeneous,XGBoost_depth4_spw1|XGBoost_depth3_spw025|HistGB_targetenc_balanced|LightGBM_leaves31_spw1|LightGBM_leaves63_spw015,history_heterogeneous_indicator_cat_interactions,score_average,mixed,5,199,0.0,ok,,test,ranking,0.2,2966,658,0.22184760620364127,0.40244648318042814,0.1102643647154033,2.011961042683543
history_heterogeneous_ensemble,rank_average_top5_heterogeneous,XGBoost_depth4_spw1|XGBoost_depth3_spw025|HistGB_targetenc_balanced|LightGBM_leaves31_spw1|LightGBM_leaves63_spw015,history_heterogeneous_indicator_cat_interactions,rank_average,mixed,5,199,0.0,ok,,test,ranking,0.01,149,67,0.44966442953020136,0.04097859327217125,0.1102643647154033,4.078057590870841
history_heterogeneous_ensemble,rank_average_top5_heterogeneous,XGBoost_depth4_spw1|XGBoost_depth3_spw025|HistGB_targetenc_balanced|LightGBM_leaves31_spw1|LightGBM_leaves63_spw015,history_heterogeneous_indicator_cat_interactions,rank_average,mixed,5,199,0.0,ok,,test,ranking,0.05,742,245,0.330188679245283,0.14984709480122324,0.1102643647154033,2.9945184928740405
history_heterogeneous_ensemble,rank_average_top5_heterogeneous,XGBoost_depth4_spw1|XGBoost_depth3_spw025|HistGB_targetenc_balanced|LightGBM_leaves31_spw1|LightGBM_leaves63_spw015,history_heterogeneous_indicator_cat_interactions,rank_average,mixed,5,199,0.0,ok,,test,ranking,0.1,1483,407,0.2744436952124073,0.2489296636085627,0.1102643647154033,2.4889609251434712
history_heterogeneous_ensemble,rank_average_top5_heterogeneous,XGBoost_depth4_spw1|XGBoost_depth3_spw025|HistGB_targetenc_balanced|LightGBM_leaves31_spw1|LightGBM_leaves63_spw015,history_heterogeneous_indicator_cat_interactions,rank_average,mixed,5,199,0.0,ok,,test,ranking,0.2,2966,653,0.22016183412002696,0.39938837920489295,0.1102643647154033,1.9966725849123912
history_heterogeneous_ensemble,score_average_top8_heterogeneous,XGBoost_depth4_spw1|XGBoost_depth3_spw025|HistGB_targetenc_balanced|LightGBM_leaves31_spw1|LightGBM_leaves63_spw015|LightGBM_leaves31_spw025|RandomForest_ordinal_balanced|ExtraTrees_ordinal_balanced,history_heterogeneous_indicator_cat_interactions,score_average,mixed,8,199,0.0,ok,,test,ranking,0.01,149,62,0.4161073825503356,0.037920489296636085,0.1102643647154033,3.7737249348357036
history_heterogeneous_ensemble,score_average_top8_heterogeneous,XGBoost_depth4_spw1|XGBoost_depth3_spw025|HistGB_targetenc_balanced|LightGBM_leaves31_spw1|LightGBM_leaves63_spw015|LightGBM_leaves31_spw025|RandomForest_ordinal_balanced|ExtraTrees_ordinal_balanced,history_heterogeneous_indicator_cat_interactions,score_average,mixed,8,199,0.0,ok,,test,ranking,0.05,742,242,0.3261455525606469,0.14801223241590214,0.1102643647154033,2.95785091949191
history_heterogeneous_ensemble,score_average_top8_heterogeneous,XGBoost_depth4_spw1|XGBoost_depth3_spw025|HistGB_targetenc_balanced|LightGBM_leaves31_spw1|LightGBM_leaves63_spw015|LightGBM_leaves31_spw025|RandomForest_ordinal_balanced|ExtraTrees_ordinal_balanced,history_heterogeneous_indicator_cat_interactions,score_average,mixed,8,199,0.0,ok,,test,ranking,0.1,1483,402,0.2710721510451787,0.24587155963302754,0.1102643647154033,2.4583840096011675
history_heterogeneous_ensemble,score_average_top8_heterogeneous,XGBoost_depth4_spw1|XGBoost_depth3_spw025|HistGB_targetenc_balanced|LightGBM_leaves31_spw1|LightGBM_leaves63_spw015|LightGBM_leaves31_spw025|RandomForest_ordinal_balanced|ExtraTrees_ordinal_balanced,history_heterogeneous_indicator_cat_interactions,score_average,mixed,8,199,0.0,ok,,test,ranking,0.2,2966,650,0.2191503708698584,0.39755351681957185,0.1102643647154033,1.9874995102497004
history_heterogeneous_ensemble,rank_average_top8_heterogeneous,XGBoost_depth4_spw1|XGBoost_depth3_spw025|HistGB_targetenc_balanced|LightGBM_leaves31_spw1|LightGBM_leaves63_spw015|LightGBM_leaves31_spw025|RandomForest_ordinal_balanced|ExtraTrees_ordinal_balanced,history_heterogeneous_indicator_cat_interactions,rank_average,mixed,8,199,0.0,ok,,test,ranking,0.01,149,64,0.42953020134228187,0.03914373088685015,0.1102643647154033,3.8954579972497587
