threshold,pr_auc,roc_auc,recall,precision,f1,accuracy,tn,fp,fn,tp,experiment_type,ensemble_name,member_key,feature_config,model_name,prep_kind,n_members,n_columns,fit_seconds,status,error,split,threshold_strategy
0.12381304659797066,0.25827751062930226,0.7007234230499032,0.8499156829679595,0.15,0.2549962054136099,0.41377479928339195,4724,8568,267,1512,history_heterogeneous_member,,LightGBM_leaves31_spw025,history_heterogeneous_indicator_cat_interactions,LightGBM_leaves31_spw025,native,1,199,0.9245092080673203,ok,,validation,max_recall_precision_ge_0.15
0.1614124489708166,0.25827751062930226,0.7007234230499032,0.6323777403035413,0.2,0.3038897893030794,0.6580187114325526,8792,4500,654,1125,history_heterogeneous_member,,LightGBM_leaves31_spw025,history_heterogeneous_indicator_cat_interactions,LightGBM_leaves31_spw025,native,1,199,0.9245092080673203,ok,,validation,max_recall_precision_ge_0.20
0.5,0.21501275968804115,0.666965801297185,0.0,0.0,0.0,0.8897356352845968,13193,0,1635,0,history_heterogeneous_member,,LightGBM_leaves31_spw025,history_heterogeneous_indicator_cat_interactions,LightGBM_leaves31_spw025,native,1,199,0.9245092080673203,ok,,test,default_0.5
0.18303288720463898,0.21501275968804115,0.666965801297185,0.42935779816513764,0.2133738601823708,0.2850761421319797,0.7625438359859725,10605,2588,933,702,history_heterogeneous_member,,LightGBM_leaves31_spw025,history_heterogeneous_indicator_cat_interactions,LightGBM_leaves31_spw025,native,1,199,0.9245092080673203,ok,,test,best_f1
0.12436315745116105,0.21501275968804115,0.666965801297185,0.8293577981651377,0.13973619126133552,0.2391745303818679,0.418195306177502,4845,8348,279,1356,history_heterogeneous_member,,LightGBM_leaves31_spw025,history_heterogeneous_indicator_cat_interactions,LightGBM_leaves31_spw025,native,1,199,0.9245092080673203,ok,,test,best_f2
0.10156018545246265,0.21501275968804115,0.666965801297185,0.9492354740061162,0.12000309286321813,0.21306974190005493,0.22686808740221204,1812,11381,83,1552,history_heterogeneous_member,,LightGBM_leaves31_spw025,history_heterogeneous_indicator_cat_interactions,LightGBM_leaves31_spw025,native,1,199,0.9245092080673203,ok,,test,max_recall_precision_ge_0.12
0.13733522755740293,0.21501275968804115,0.666965801297185,0.7314984709480122,0.1500062711651825,0.24895920066611157,0.5133531157270029,6416,6777,439,1196,history_heterogeneous_member,,LightGBM_leaves31_spw025,history_heterogeneous_indicator_cat_interactions,LightGBM_leaves31_spw025,native,1,199,0.9245092080673203,ok,,test,max_recall_precision_ge_0.15
0.17692335659092653,0.21501275968804115,0.666965801297185,0.46422018348623856,0.2,0.2795580110497238,0.7361748044240626,10157,3036,876,759,history_heterogeneous_member,,LightGBM_leaves31_spw025,history_heterogeneous_indicator_cat_interactions,LightGBM_leaves31_spw025,native,1,199,0.9245092080673203,ok,,test,max_recall_precision_ge_0.20
0.5,0.2597427846362869,0.7021412246429362,0.017987633501967398,0.45714285714285713,0.03461330448891293,0.8815606130980028,13254,38,1747,32,history_heterogeneous_member,,LightGBM_leaves63_spw015,history_heterogeneous_indicator_cat_interactions,LightGBM_leaves63_spw015,native,1,199,2.9586426250170916,ok,,validation,default_0.5
0.1698878099555072,0.2597427846362869,0.7021412246429362,0.4671163575042159,0.24791169451073986,0.3239134671603976,0.7698228385641298,10771,2521,948,831,history_heterogeneous_member,,LightGBM_leaves63_spw015,history_heterogeneous_indicator_cat_interactions,LightGBM_leaves63_spw015,native,1,199,2.9586426250170916,ok,,validation,best_f1
0.09831357793664817,0.2597427846362869,0.7021412246429362,0.790893760539629,0.1676796567751162,0.2766961651917404,0.5119102912879039,6308,6984,372,1407,history_heterogeneous_member,,LightGBM_leaves63_spw015,history_heterogeneous_indicator_cat_interactions,LightGBM_leaves63_spw015,native,1,199,2.9586426250170916,ok,,validation,best_f2
0.03776144366621169,0.2597427846362869,0.7021412246429362,0.9966273187183811,0.12,0.21420804639362087,0.13688540906376484,290,13002,6,1773,history_heterogeneous_member,,LightGBM_leaves63_spw015,history_heterogeneous_indicator_cat_interactions,LightGBM_leaves63_spw015,native,1,199,2.9586426250170916,ok,,validation,max_recall_precision_ge_0.12
0.07768054274103384,0.2597427846362869,0.7021412246429362,0.8825182686902754,0.1500095547487101,0.2564311964066966,0.3958595979032579,4396,8896,209,1570,history_heterogeneous_member,,LightGBM_leaves63_spw015,history_heterogeneous_indicator_cat_interactions,LightGBM_leaves63_spw015,native,1,199,2.9586426250170916,ok,,validation,max_recall_precision_ge_0.15
0.13235376802463897,0.2597427846362869,0.7021412246429362,0.6233839235525576,0.2,0.3028399781540142,0.6612036361223542,8856,4436,670,1109,history_heterogeneous_member,,LightGBM_leaves63_spw015,history_heterogeneous_indicator_cat_interactions,LightGBM_leaves63_spw015,native,1,199,2.9586426250170916,ok,,validation,max_recall_precision_ge_0.20
0.5,0.22369911403414316,0.6685274440087425,0.018960244648318043,0.5535714285714286,0.03666469544648137,0.890140275155112,13168,25,1604,31,history_heterogeneous_member,,LightGBM_leaves63_spw015,history_heterogeneous_indicator_cat_interactions,LightGBM_leaves63_spw015,native,1,199,2.9586426250170916,ok,,test,default_0.5
0.1494197727068608,0.22369911403414316,0.6685274440087425,0.4929663608562691,0.19506292352371732,0.27952141494711286,0.7197868896681953,9867,3326,829,806,history_heterogeneous_member,,LightGBM_leaves63_spw015,history_heterogeneous_indicator_cat_interactions,LightGBM_leaves63_spw015,native,1,199,2.9586426250170916,ok,,test,best_f1
0.08493018217991997,0.22369911403414316,0.6685274440087425,0.8171253822629969,0.14164546225614927,0.24143851088822627,0.43384138117075804,5097,8096,299,1336,history_heterogeneous_member,,LightGBM_leaves63_spw015,history_heterogeneous_indicator_cat_interactions,LightGBM_leaves63_spw015,native,1,199,2.9586426250170916,ok,,test,best_f2
0.05439142131854839,0.22369911403414316,0.6685274440087425,0.9504587155963303,0.12,0.2130956462118615,0.22599136768276235,1797,11396,81,1554,history_heterogeneous_member,,LightGBM_leaves63_spw015,history_heterogeneous_indicator_cat_interactions,LightGBM_leaves63_spw015,native,1,199,2.9586426250170916,ok,,test,max_recall_precision_ge_0.12
0.09759618198033221,0.22369911403414316,0.6685274440087425,0.7443425076452599,0.1500061629483545,0.24969224456298728,0.5067439978419207,6297,6896,418,1217,history_heterogeneous_member,,LightGBM_leaves63_spw015,history_heterogeneous_indicator_cat_interactions,LightGBM_leaves63_spw015,native,1,199,2.9586426250170916,ok,,test,max_recall_precision_ge_0.15
0.1586874122317084,0.22369911403414316,0.6685274440087425,0.44464831804281346,0.2,0.27590132827324476,0.7426490423523064,10285,2908,908,727,history_heterogeneous_member,,LightGBM_leaves63_spw015,history_heterogeneous_indicator_cat_interactions,LightGBM_leaves63_spw015,native,1,199,2.9586426250170916,ok,,test,max_recall_precision_ge_0.20
0.5,0.2708317045584329,0.7024699629559898,0.03147835862844295,0.5137614678899083,0.059322033898305086,0.8821577864773406,13239,53,1723,56,history_heterogeneous_member,,XGBoost_depth4_spw1,history_heterogeneous_indicator_cat_interactions,XGBoost_depth4_spw1,native,1,199,3.651865749969147,ok,,validation,default_0.5
0.15191814303398132,0.2708317045584329,0.7024699629559898,0.46318156267566046,0.24864212432106217,0.32358138621637544,0.7714153009090305,10802,2490,955,824,history_heterogeneous_member,,XGBoost_depth4_spw1,history_heterogeneous_indicator_cat_interactions,XGBoost_depth4_spw1,native,1,199,3.651865749969147,ok,,validation,best_f1
0.08458272367715836,0.2708317045584329,0.7024699629559898,0.792017987633502,0.16841979440592875,0.277772301626417,0.5138345166213257,6335,6957,370,1409,history_heterogeneous_member,,XGBoost_depth4_spw1,history_heterogeneous_indicator_cat_interactions,XGBoost_depth4_spw1,native,1,199,3.651865749969147,ok,,validation,best_f2
0.02914002351462841,0.2708317045584329,0.7024699629559898,0.9926925238898258,0.12000543625985322,0.21412549257350713,0.13987127596045384,342,12950,13,1766,history_heterogeneous_member,,XGBoost_depth4_spw1,history_heterogeneous_indicator_cat_interactions,XGBoost_depth4_spw1,native,1,199,3.651865749969147,ok,,validation,max_recall_precision_ge_0.12
0.06753317266702652,0.2708317045584329,0.7024699629559898,0.8679033164699269,0.15000485767026134,0.25579854208084823,0.40388826222546614,4543,8749,235,1544,history_heterogeneous_member,,XGBoost_depth4_spw1,history_heterogeneous_indicator_cat_interactions,XGBoost_depth4_spw1,native,1,199,3.651865749969147,ok,,validation,max_recall_precision_ge_0.15
0.11289533972740173,0.2708317045584329,0.7024699629559898,0.6441821247892074,0.2,0.30523371953655615,0.6538384977771879,8708,4584,633,1146,history_heterogeneous_member,,XGBoost_depth4_spw1,history_heterogeneous_indicator_cat_interactions,XGBoost_depth4_spw1,native,1,199,3.651865749969147,ok,,validation,max_recall_precision_ge_0.20
0.5,0.22896616769284528,0.6780110896543923,0.020795107033639144,0.5230769230769231,0.04,0.8899379552198543,13162,31,1601,34,history_heterogeneous_member,,XGBoost_depth4_spw1,history_heterogeneous_indicator_cat_interactions,XGBoost_depth4_spw1,native,1,199,3.651865749969147,ok,,test,default_0.5
0.1568613052368164,0.22896616769284528,0.6780110896543923,0.39694189602446484,0.22089857045609257,0.2838399300240542,0.7791340706770974,10904,2289,986,649,history_heterogeneous_member,,XGBoost_depth4_spw1,history_heterogeneous_indicator_cat_interactions,XGBoost_depth4_spw1,native,1,199,3.651865749969147,ok,,test,best_f1
0.08198269456624985,0.22896616769284528,0.6780110896543923,0.7669724770642202,0.15207373271889402,0.2538204635158385,0.5027650391151874,6201,6992,381,1254,history_heterogeneous_member,,XGBoost_depth4_spw1,history_heterogeneous_indicator_cat_interactions,XGBoost_depth4_spw1,native,1,199,3.651865749969147,ok,,test,best_f2
0.045022521167993546,0.22896616769284528,0.6780110896543923,0.9559633027522936,0.12,0.21323328785811732,0.22214728891286756,1731,11462,72,1563,history_heterogeneous_member,,XGBoost_depth4_spw1,history_heterogeneous_indicator_cat_interactions,XGBoost_depth4_spw1,native,1,199,3.651865749969147,ok,,test,max_recall_precision_ge_0.12
0.08032320439815521,0.22896616769284528,0.6780110896543923,0.7755351681957187,0.1500059150597421,0.2513877874702617,0.49069328297814946,6008,7185,367,1268,history_heterogeneous_member,,XGBoost_depth4_spw1,history_heterogeneous_indicator_cat_interactions,XGBoost_depth4_spw1,native,1,199,3.651865749969147,ok,,test,max_recall_precision_ge_0.15
0.1379529982805252,0.22896616769284528,0.6780110896543923,0.4654434250764526,0.2,0.2797794117647059,0.7357701645535474,10149,3044,874,761,history_heterogeneous_member,,XGBoost_depth4_spw1,history_heterogeneous_indicator_cat_interactions,XGBoost_depth4_spw1,native,1,199,3.651865749969147,ok,,test,max_recall_precision_ge_0.20
0.5,0.2691440110263621,0.7026960220866812,0.09612141652613827,0.44881889763779526,0.15833333333333333,0.8793709773737641,13082,210,1608,171,history_heterogeneous_member,,XGBoost_depth3_spw025,history_heterogeneous_indicator_cat_interactions,XGBoost_depth3_spw025,native,1,199,3.663164916099049,ok,,validation,default_0.5
