experiment_type,feature_config,model_name,n_columns,fit_seconds,best_iteration,split,threshold_strategy,top_fraction,n_flagged,positives_captured,precision_at_k,recall_at_k,base_rate,lift
patient_history_features,history_full_indicator,HistoryCat_d6_lr0015_custom025,195,71.83345779194497,1519,test,ranking,0.01,149,69,0.46308724832214765,0.04220183486238532,0.1102643647154033,4.199790653284896
patient_history_features,history_full_indicator,HistoryCat_d6_lr0015_custom025,195,71.83345779194497,1519,test,ranking,0.05,742,254,0.3423180592991914,0.15535168195718654,0.1102643647154033,3.1045212130204343
patient_history_features,history_full_indicator,HistoryCat_d6_lr0015_custom025,195,71.83345779194497,1519,test,ranking,0.1,1483,410,0.27646662171274444,0.25076452599388377,0.1102643647154033,2.507307074468853
patient_history_features,history_full_indicator,HistoryCat_d6_lr0015_custom025,195,71.83345779194497,1519,test,ranking,0.2,2966,666,0.22454484153742413,0.4073394495412844,0.1102643647154033,2.0364225751173852
patient_history_features,history_full_indicator,HistoryCat_d6_lr002_custom025,195,57.21431437507272,1279,test,ranking,0.01,149,75,0.5033557046979866,0.045871559633027525,0.1102643647154033,4.564989840527061
patient_history_features,history_full_indicator,HistoryCat_d6_lr002_custom025,195,57.21431437507272,1279,test,ranking,0.05,742,245,0.330188679245283,0.14984709480122324,0.1102643647154033,2.9945184928740405
patient_history_features,history_full_indicator,HistoryCat_d6_lr002_custom025,195,57.21431437507272,1279,test,ranking,0.1,1483,404,0.2724207687120701,0.2470948012232416,0.1102643647154033,2.4706147758180887
patient_history_features,history_full_indicator,HistoryCat_d6_lr002_custom025,195,57.21431437507272,1279,test,ranking,0.2,2966,668,0.22521915037086987,0.40856269113149846,0.1102643647154033,2.042537958225846
patient_history_features,history_full_indicator_cat_interactions,HistoryCat_d6_lr0015_custom025,199,89.37128087494057,1827,test,ranking,0.01,149,75,0.5033557046979866,0.045871559633027525,0.1102643647154033,4.564989840527061
patient_history_features,history_full_indicator_cat_interactions,HistoryCat_d6_lr0015_custom025,199,89.37128087494057,1827,test,ranking,0.05,742,252,0.33962264150943394,0.15412844036697249,0.1102643647154033,3.080076164099013
patient_history_features,history_full_indicator_cat_interactions,HistoryCat_d6_lr0015_custom025,199,89.37128087494057,1827,test,ranking,0.1,1483,413,0.2784895482130816,0.25259938837920487,0.1102643647154033,2.5256532237942344
patient_history_features,history_full_indicator_cat_interactions,HistoryCat_d6_lr0015_custom025,199,89.37128087494057,1827,test,ranking,0.2,2966,668,0.22521915037086987,0.40856269113149846,0.1102643647154033,2.042537958225846
patient_history_features,history_full_indicator_cat_interactions,HistoryCat_d6_lr002_custom025,199,61.45363437500782,1288,test,ranking,0.01,149,76,0.5100671140939598,0.046483180428134555,0.1102643647154033,4.625856371734089
patient_history_features,history_full_indicator_cat_interactions,HistoryCat_d6_lr002_custom025,199,61.45363437500782,1288,test,ranking,0.05,742,254,0.3423180592991914,0.15535168195718654,0.1102643647154033,3.1045212130204343
patient_history_features,history_full_indicator_cat_interactions,HistoryCat_d6_lr002_custom025,199,61.45363437500782,1288,test,ranking,0.1,1483,409,0.27579231287929873,0.25015290519877675,0.1102643647154033,2.5011916913603924
patient_history_features,history_full_indicator_cat_interactions,HistoryCat_d6_lr002_custom025,199,61.45363437500782,1288,test,ranking,0.2,2966,667,0.224881995954147,0.40795107033639144,0.1102643647154033,2.0394802666716156
patient_history_features,history_no_medication_detail,HistoryCat_d6_lr0015_custom025,167,68.1591790409293,1448,test,ranking,0.01,149,73,0.4899328859060403,0.044648318042813454,0.1102643647154033,4.443256778113006
patient_history_features,history_no_medication_detail,HistoryCat_d6_lr0015_custom025,167,68.1591790409293,1448,test,ranking,0.05,742,250,0.33692722371967654,0.1529051987767584,0.1102643647154033,3.0556311151775923
patient_history_features,history_no_medication_detail,HistoryCat_d6_lr0015_custom025,167,68.1591790409293,1448,test,ranking,0.1,1483,409,0.27579231287929873,0.25015290519877675,0.1102643647154033,2.5011916913603924
patient_history_features,history_no_medication_detail,HistoryCat_d6_lr0015_custom025,167,68.1591790409293,1448,test,ranking,0.2,2966,664,0.22387053270397841,0.40611620795107034,0.1102643647154033,2.030307192008925
patient_history_features,history_no_medication_detail,HistoryCat_d6_lr002_custom025,167,53.55386187497061,1107,test,ranking,0.01,149,72,0.48322147651006714,0.044036697247706424,0.1102643647154033,4.382390246905978
patient_history_features,history_no_medication_detail,HistoryCat_d6_lr002_custom025,167,53.55386187497061,1107,test,ranking,0.05,742,251,0.33827493261455527,0.15351681957186544,0.1102643647154033,3.067853639638303
patient_history_features,history_no_medication_detail,HistoryCat_d6_lr002_custom025,167,53.55386187497061,1107,test,ranking,0.1,1483,411,0.27714093054619016,0.25137614678899084,0.1102643647154033,2.5134224575773136
patient_history_features,history_no_medication_detail,HistoryCat_d6_lr002_custom025,167,53.55386187497061,1107,test,ranking,0.2,2966,662,0.2231962238705327,0.40489296636085625,0.1102643647154033,2.024191808900464
