split,experiment_type,feature_config,model_name,row_order_seed,model_seed,negative_ratio,bootstrap_type,bagging_temperature,subsample,boosting_type,random_strength,l2_leaf_reg,train_subset_rows,n_columns,fit_seconds,best_iteration,status,error,threshold_strategy,top_fraction,n_flagged,positives_captured,precision_at_k,recall_at_k,base_rate,lift
test,history_catboost_bootstrap_search,history_bootstrap_indicator_cat_interactions,BootstrapCat_full_bernoulli_sub0.66,202,202,-1.0,Bernoulli,,0.66,Default,1.0,10.0,69444,199,65.36264537496027,1490,ok,,ranking,0.01,149,76,0.5100671140939598,0.046483180428134555,0.1102643647154033,4.625856371734089
test,history_catboost_bootstrap_search,history_bootstrap_indicator_cat_interactions,BootstrapCat_full_bernoulli_sub0.66,202,202,-1.0,Bernoulli,,0.66,Default,1.0,10.0,69444,199,65.36264537496027,1490,ok,,ranking,0.05,742,257,0.3463611859838275,0.15718654434250764,0.1102643647154033,3.141188786402565
test,history_catboost_bootstrap_search,history_bootstrap_indicator_cat_interactions,BootstrapCat_full_bernoulli_sub0.66,202,202,-1.0,Bernoulli,,0.66,Default,1.0,10.0,69444,199,65.36264537496027,1490,ok,,ranking,0.1,1483,419,0.2825354012137559,0.25626911314984707,0.1102643647154033,2.5623455224449985
test,history_catboost_bootstrap_search,history_bootstrap_indicator_cat_interactions,BootstrapCat_full_bernoulli_sub0.66,202,202,-1.0,Bernoulli,,0.66,Default,1.0,10.0,69444,199,65.36264537496027,1490,ok,,ranking,0.2,2966,642,0.21645313553607554,0.3926605504587156,0.1102643647154033,1.963037977815858
test,history_catboost_bootstrap_search,history_bootstrap_indicator_cat_interactions,BootstrapCat_full_bernoulli_sub0.8,202,202,-1.0,Bernoulli,,0.8,Default,1.0,10.0,69444,199,58.18307829205878,1107,ok,,ranking,0.01,149,77,0.5167785234899329,0.04709480122324159,0.1102643647154033,4.686722902941116
test,history_catboost_bootstrap_search,history_bootstrap_indicator_cat_interactions,BootstrapCat_full_bernoulli_sub0.8,202,202,-1.0,Bernoulli,,0.8,Default,1.0,10.0,69444,199,58.18307829205878,1107,ok,,ranking,0.05,742,252,0.33962264150943394,0.15412844036697249,0.1102643647154033,3.080076164099013
test,history_catboost_bootstrap_search,history_bootstrap_indicator_cat_interactions,BootstrapCat_full_bernoulli_sub0.8,202,202,-1.0,Bernoulli,,0.8,Default,1.0,10.0,69444,199,58.18307829205878,1107,ok,,ranking,0.1,1483,411,0.27714093054619016,0.25137614678899084,0.1102643647154033,2.5134224575773136
test,history_catboost_bootstrap_search,history_bootstrap_indicator_cat_interactions,BootstrapCat_full_bernoulli_sub0.8,202,202,-1.0,Bernoulli,,0.8,Default,1.0,10.0,69444,199,58.18307829205878,1107,ok,,ranking,0.2,2966,646,0.21780175320296696,0.39510703363914373,0.1102643647154033,1.9752687440327792
test,history_catboost_bootstrap_search,history_bootstrap_indicator_cat_interactions,BootstrapCat_full_bernoulli_sub0.9,202,202,-1.0,Bernoulli,,0.9,Default,1.0,10.0,69444,199,73.38615845795721,1475,ok,,ranking,0.01,149,76,0.5100671140939598,0.046483180428134555,0.1102643647154033,4.625856371734089
test,history_catboost_bootstrap_search,history_bootstrap_indicator_cat_interactions,BootstrapCat_full_bernoulli_sub0.9,202,202,-1.0,Bernoulli,,0.9,Default,1.0,10.0,69444,199,73.38615845795721,1475,ok,,ranking,0.05,742,247,0.3328840970350404,0.1510703363914373,0.1102643647154033,3.0189635417954612
