threshold,pr_auc,roc_auc,recall,precision,f1,accuracy,tn,fp,fn,tp,experiment_type,split_name,feature_config,model_name,seed,n_columns,best_iteration,fit_seconds,split,threshold_strategy
0.5,0.2607701705748869,0.6937099866246409,0.0837549184935357,0.4869281045751634,0.14292565947242206,0.8814279079025944,13135,157,1630,149,feature_engineering_variant,patient_group_70_15_15,base_no_extra_engineering,PlateauCatBoost_d6_lr002_custom025,42,31,1195,41.23408829094842,validation,default_0.5
0.24885680379631112,0.2607701705748869,0.6937099866246409,0.43114109050028104,0.24662379421221864,0.3137655962364492,0.7773870347024086,10949,2343,1012,767,feature_engineering_variant,patient_group_70_15_15,base_no_extra_engineering,PlateauCatBoost_d6_lr002_custom025,42,31,1195,41.23408829094842,validation,best_f1
0.1530824431916625,0.2607701705748869,0.6937099866246409,0.792017987633502,0.16272086846056127,0.2699750910136041,0.49439320549399507,6042,7250,370,1409,feature_engineering_variant,patient_group_70_15_15,base_no_extra_engineering,PlateauCatBoost_d6_lr002_custom025,42,31,1195,41.23408829094842,validation,best_f2
0.0720389638591943,0.2607701705748869,0.6937099866246409,0.9943788645306352,0.12000542704022793,0.21416464891041162,0.13861057660407405,320,12972,10,1769,feature_engineering_variant,patient_group_70_15_15,base_no_extra_engineering,PlateauCatBoost_d6_lr002_custom025,42,31,1195,41.23408829094842,validation,max_recall_precision_ge_0.12
0.13586866837108127,0.2607701705748869,0.6937099866246409,0.8572231590781337,0.15000983671060397,0.25533696107157805,0.40979364342113994,4651,8641,254,1525,feature_engineering_variant,patient_group_70_15_15,base_no_extra_engineering,PlateauCatBoost_d6_lr002_custom025,42,31,1195,41.23408829094842,validation,max_recall_precision_ge_0.15
0.1994782808378083,0.2607701705748869,0.6937099866246409,0.5986509274873525,0.2,0.2998310810810811,0.6699621790193087,9032,4260,714,1065,feature_engineering_variant,patient_group_70_15_15,base_no_extra_engineering,PlateauCatBoost_d6_lr002_custom025,42,31,1195,41.23408829094842,validation,max_recall_precision_ge_0.20
0.5,0.22255453031599962,0.671068407836516,0.05871559633027523,0.4304932735426009,0.10333692142088267,0.8876449959536012,13066,127,1539,96,feature_engineering_variant,patient_group_70_15_15,base_no_extra_engineering,PlateauCatBoost_d6_lr002_custom025,42,31,1195,41.23408829094842,test,default_0.5
0.23810091341248574,0.22255453031599962,0.671068407836516,0.43119266055045874,0.2089508002371073,0.281493312038331,0.7572835176692744,10524,2669,930,705,feature_engineering_variant,patient_group_70_15_15,base_no_extra_engineering,PlateauCatBoost_d6_lr002_custom025,42,31,1195,41.23408829094842,test,best_f1
0.15530578012900798,0.22255453031599962,0.671068407836516,0.7529051987767584,0.15130285152409045,0.25197011564834715,0.5070811977340167,6288,6905,404,1231,feature_engineering_variant,patient_group_70_15_15,base_no_extra_engineering,PlateauCatBoost_d6_lr002_custom025,42,31,1195,41.23408829094842,test,best_f2
0.10107849012195039,0.22255453031599962,0.671068407836516,0.9492354740061162,0.12000309286321813,0.21306974190005493,0.22686808740221204,1812,11381,83,1552,feature_engineering_variant,patient_group_70_15_15,base_no_extra_engineering,PlateauCatBoost_d6_lr002_custom025,42,31,1195,41.23408829094842,test,max_recall_precision_ge_0.12
0.15400009436154127,0.22255453031599962,0.671068407836516,0.7584097859327217,0.15001209774981852,0.2504797495202505,0.49952792015106556,6167,7026,395,1240,feature_engineering_variant,patient_group_70_15_15,base_no_extra_engineering,PlateauCatBoost_d6_lr002_custom025,42,31,1195,41.23408829094842,test,max_recall_precision_ge_0.15
0.23067012149625635,0.22255453031599962,0.671068407836516,0.44770642201834865,0.2,0.27648725212464587,0.7416374426760184,10265,2928,903,732,feature_engineering_variant,patient_group_70_15_15,base_no_extra_engineering,PlateauCatBoost_d6_lr002_custom025,42,31,1195,41.23408829094842,test,max_recall_precision_ge_0.20
0.5,0.26928213172209814,0.699097979452999,0.0893760539629005,0.48328267477203646,0.150853889943074,0.8812288501094818,13122,170,1620,159,feature_engineering_variant,patient_group_70_15_15,full_summary,PlateauCatBoost_d6_lr002_custom025,42,158,1199,56.924423000076786,validation,default_0.5
0.25001043454535,0.26928213172209814,0.699097979452999,0.44912872400224846,0.2505487613671997,0.321658615136876,0.7763917457368456,10902,2390,980,799,feature_engineering_variant,patient_group_70_15_15,full_summary,PlateauCatBoost_d6_lr002_custom025,42,158,1199,56.924423000076786,validation,best_f1
0.1689508096415246,0.26928213172209814,0.699097979452999,0.730185497470489,0.1758732737611698,0.2834697217675941,0.5642624908765178,7205,6087,480,1299,feature_engineering_variant,patient_group_70_15_15,full_summary,PlateauCatBoost_d6_lr002_custom025,42,158,1199,56.924423000076786,validation,best_f2
0.06976211154521199,0.26928213172209814,0.699097979452999,0.9938167509836987,0.12000271499355189,0.21414728682170542,0.13900869219029924,327,12965,11,1768,feature_engineering_variant,patient_group_70_15_15,full_summary,PlateauCatBoost_d6_lr002_custom025,42,158,1199,56.924423000076786,validation,max_recall_precision_ge_0.12
0.13052904712570731,0.26928213172209814,0.699097979452999,0.8752107925801011,0.15,0.2561065877128053,0.3998407537655099,4469,8823,222,1557,feature_engineering_variant,patient_group_70_15_15,full_summary,PlateauCatBoost_d6_lr002_custom025,42,158,1199,56.924423000076786,validation,max_recall_precision_ge_0.15
0.1978741133198893,0.26928213172209814,0.699097979452999,0.6172006745362564,0.2,0.30210482872472144,0.6633932718465928,8900,4392,681,1098,feature_engineering_variant,patient_group_70_15_15,full_summary,PlateauCatBoost_d6_lr002_custom025,42,158,1199,56.924423000076786,validation,max_recall_precision_ge_0.20
0.5,0.22807363638499262,0.6790284719146077,0.06299694189602446,0.4204081632653061,0.10957446808510639,0.8871054761262477,13051,142,1532,103,feature_engineering_variant,patient_group_70_15_15,full_summary,PlateauCatBoost_d6_lr002_custom025,42,158,1199,56.924423000076786,test,default_0.5
0.26392981017373374,0.22807363638499262,0.6790284719146077,0.37003058103975534,0.23118074130683988,0.2845719661335842,0.7948475856487726,11181,2012,1030,605,feature_engineering_variant,patient_group_70_15_15,full_summary,PlateauCatBoost_d6_lr002_custom025,42,158,1199,56.924423000076786,test,best_f1
0.1445813662695891,0.22807363638499262,0.6790284719146077,0.8061162079510703,0.14879205238202756,0.25121509577813783,0.47012408956029134,5653,7540,317,1318,feature_engineering_variant,patient_group_70_15_15,full_summary,PlateauCatBoost_d6_lr002_custom025,42,158,1199,56.924423000076786,test,best_f2
0.09509006804762644,0.22807363638499262,0.6790284719146077,0.963302752293578,0.12,0.21341463414634146,0.21702185055300782,1643,11550,60,1575,feature_engineering_variant,patient_group_70_15_15,full_summary,PlateauCatBoost_d6_lr002_custom025,42,158,1199,56.924423000076786,test,max_recall_precision_ge_0.12
