threshold,pr_auc,roc_auc,recall,precision,f1,accuracy,tn,fp,fn,tp,experiment_type,feature_config,model_name,seed,depth,learning_rate,l2_leaf_reg,iterations,random_strength,bootstrap_type,n_columns,fit_seconds,best_iteration,split,threshold_strategy
0.04112155374230629,0.2812502715079701,0.7090941023412037,0.9955030916245081,0.12000271039436237,0.2141863699582754,0.13774799283391945,305,12987,8,1771,history_catboost_seed_sweep,history_seed_sweep_indicator_cat_interactions,SeedSweep_d6_lr002_l210_seed42,42,6,0.02,10.0,1400,1.0,Default,199,65.35309187497478,1326,validation,max_recall_precision_ge_0.12
0.07018782936777365,0.2812502715079701,0.7090941023412037,0.865654862282181,0.15000974089226574,0.2557077625570776,0.40514896158184593,4566,8726,239,1540,history_catboost_seed_sweep,history_seed_sweep_indicator_cat_interactions,SeedSweep_d6_lr002_l210_seed42,42,6,0.02,10.0,1400,1.0,Default,199,65.35309187497478,1326,validation,max_recall_precision_ge_0.15
0.10715154105830405,0.2812502715079701,0.7090941023412037,0.6537380550871276,0.2,0.30629444298130104,0.6504545152942738,8640,4652,616,1163,history_catboost_seed_sweep,history_seed_sweep_indicator_cat_interactions,SeedSweep_d6_lr002_l210_seed42,42,6,0.02,10.0,1400,1.0,Default,199,65.35309187497478,1326,validation,max_recall_precision_ge_0.20
0.5,0.23604934326960564,0.6816004038839056,0.02691131498470948,0.5641025641025641,0.05137186223000584,0.8904100350687888,13159,34,1591,44,history_catboost_seed_sweep,history_seed_sweep_indicator_cat_interactions,SeedSweep_d6_lr002_l210_seed42,42,6,0.02,10.0,1400,1.0,Default,199,65.35309187497478,1326,test,default_0.5
0.13765754715910877,0.23604934326960564,0.6816004038839056,0.4470948012232416,0.21287128712871287,0.28841980666798184,0.7567439978419207,10490,2703,904,731,history_catboost_seed_sweep,history_seed_sweep_indicator_cat_interactions,SeedSweep_d6_lr002_l210_seed42,42,6,0.02,10.0,1400,1.0,Default,199,65.35309187497478,1326,test,best_f1
0.08522455758277452,0.23604934326960564,0.6816004038839056,0.7504587155963303,0.15575019040365576,0.25796278776411224,0.5239411923388184,6542,6651,408,1227,history_catboost_seed_sweep,history_seed_sweep_indicator_cat_interactions,SeedSweep_d6_lr002_l210_seed42,42,6,0.02,10.0,1400,1.0,Default,199,65.35309187497478,1326,test,best_f2
0.05234475793696003,0.23604934326960564,0.6816004038839056,0.9614678899082569,0.12,0.21336952833389888,0.21830321014297274,1665,11528,63,1572,history_catboost_seed_sweep,history_seed_sweep_indicator_cat_interactions,SeedSweep_d6_lr002_l210_seed42,42,6,0.02,10.0,1400,1.0,Default,199,65.35309187497478,1326,test,max_recall_precision_ge_0.12
0.0801323411096287,0.23604934326960564,0.6816004038839056,0.7792048929663609,0.15000588720122454,0.25157977883096366,0.48880496358241166,5974,7219,361,1274,history_catboost_seed_sweep,history_seed_sweep_indicator_cat_interactions,SeedSweep_d6_lr002_l210_seed42,42,6,0.02,10.0,1400,1.0,Default,199,65.35309187497478,1326,test,max_recall_precision_ge_0.15
0.12879361428552435,0.23604934326960564,0.6816004038839056,0.4819571865443425,0.2,0.2826905829596413,0.7303075263015916,10041,3152,847,788,history_catboost_seed_sweep,history_seed_sweep_indicator_cat_interactions,SeedSweep_d6_lr002_l210_seed42,42,6,0.02,10.0,1400,1.0,Default,199,65.35309187497478,1326,test,max_recall_precision_ge_0.20
0.5,0.2842031171866088,0.7088601561975345,0.04215851602023609,0.5725190839694656,0.07853403141361257,0.8832194280406078,13236,56,1704,75,history_catboost_seed_sweep,history_seed_sweep_indicator_cat_interactions,SeedSweep_d6_lr002_l210_seed101,101,6,0.02,10.0,1400,1.0,Default,199,65.30562491703313,1395,validation,default_0.5
