split,experiment_family,feature_config,model_name,threshold_strategy,top_fraction,n_flagged,positives_captured,precision_at_k,recall_at_k,base_rate,lift
test,catboost_tuning_ensemble,catboost_tuning_ensemble,rank_average_2_d7_lr0010_l220_sqrt_rs3__d6_lr0015_l210_sqrt_rs1,best_f1,0.1,1050,238,0.22666666666666666,0.2526539278131635,0.0897484756097561,2.5255767869780605
test,catboost_tuning_ensemble,catboost_tuning_ensemble,rank_average_2_d7_lr0010_l220_sqrt_rs3__d6_lr0015_l210_sqrt_rs1,best_f1,0.2,2100,355,0.16904761904761906,0.37685774946921446,0.0897484756097561,1.8835709230613689
test,catboost_tuning_ensemble,catboost_tuning_ensemble,score_average_2_d7_lr0010_l220_sqrt_rs3__d6_lr0015_l210_sqrt_rs1,best_f1,0.01,105,51,0.4857142857142857,0.054140127388535034,0.0897484756097561,5.41195025781013
test,catboost_tuning_ensemble,catboost_tuning_ensemble,score_average_2_d7_lr0010_l220_sqrt_rs3__d6_lr0015_l210_sqrt_rs1,best_f1,0.05,525,147,0.28,0.15605095541401273,0.0897484756097561,3.1198301486199576
test,catboost_tuning_ensemble,catboost_tuning_ensemble,score_average_2_d7_lr0010_l220_sqrt_rs3__d6_lr0015_l210_sqrt_rs1,best_f1,0.1,1050,241,0.22952380952380952,0.25583864118895966,0.0897484756097561,2.557411788494591
test,catboost_tuning_ensemble,catboost_tuning_ensemble,score_average_2_d7_lr0010_l220_sqrt_rs3__d6_lr0015_l210_sqrt_rs1,best_f1,0.2,2100,356,0.16952380952380952,0.37791932059447986,0.0897484756097561,1.8888767566474571
test,catboost_tuning_ensemble,catboost_tuning_ensemble,score_average_4_d6_lr0015_l210_sqrt_rs1__d7_lr0010_l220_sqrt_rs3__d6_lr0015_l210_custom025_rs1__d6_lr0015_l210_sqrt_rs1,best_f1,0.01,105,48,0.45714285714285713,0.050955414012738856,0.0897484756097561,5.093600242644828
test,catboost_tuning_ensemble,catboost_tuning_ensemble,score_average_4_d6_lr0015_l210_sqrt_rs1__d7_lr0010_l220_sqrt_rs3__d6_lr0015_l210_custom025_rs1__d6_lr0015_l210_sqrt_rs1,best_f1,0.05,525,149,0.2838095238095238,0.15817409766454352,0.0897484756097561,3.162276817308664
test,catboost_tuning_ensemble,catboost_tuning_ensemble,score_average_4_d6_lr0015_l210_sqrt_rs1__d7_lr0010_l220_sqrt_rs3__d6_lr0015_l210_custom025_rs1__d6_lr0015_l210_sqrt_rs1,best_f1,0.1,1050,239,0.2276190476190476,0.2537154989384289,0.0897484756097561,2.5361884541502375
test,catboost_tuning_ensemble,catboost_tuning_ensemble,score_average_4_d6_lr0015_l210_sqrt_rs1__d7_lr0010_l220_sqrt_rs3__d6_lr0015_l210_custom025_rs1__d6_lr0015_l210_sqrt_rs1,best_f1,0.2,2100,354,0.16857142857142857,0.37579617834394907,0.0897484756097561,1.8782650894752804
test,catboost_tuning_ensemble,catboost_tuning_ensemble,rank_average_3_d6_lr0015_l210_sqrt_rs1__d6_lr0015_l210_custom025_rs1__d6_lr0015_l210_custom025_rs1,best_f1,0.01,105,47,0.44761904761904764,0.049893842887473464,0.0897484756097561,4.987483570923062
test,catboost_tuning_ensemble,catboost_tuning_ensemble,rank_average_3_d6_lr0015_l210_sqrt_rs1__d6_lr0015_l210_custom025_rs1__d6_lr0015_l210_custom025_rs1,best_f1,0.05,525,148,0.2819047619047619,0.15711252653927812,0.0897484756097561,3.1410534829643106
test,catboost_tuning_ensemble,catboost_tuning_ensemble,rank_average_3_d6_lr0015_l210_sqrt_rs1__d6_lr0015_l210_custom025_rs1__d6_lr0015_l210_custom025_rs1,best_f1,0.1,1050,239,0.2276190476190476,0.2537154989384289,0.0897484756097561,2.5361884541502375
test,catboost_tuning_ensemble,catboost_tuning_ensemble,rank_average_3_d6_lr0015_l210_sqrt_rs1__d6_lr0015_l210_custom025_rs1__d6_lr0015_l210_custom025_rs1,best_f1,0.2,2100,364,0.17333333333333334,0.386411889596603,0.0897484756097561,1.9313234253361642
test,catboost_tuning_ensemble,catboost_tuning_ensemble,rank_average_4_d6_lr0015_l210_sqrt_rs1__d6_lr0015_l210_custom025_rs1__d6_lr0015_l210_custom025_rs1__d6_lr0015_l210_custom025_rs1,best_f1,0.01,105,48,0.45714285714285713,0.050955414012738856,0.0897484756097561,5.093600242644828
test,catboost_tuning_ensemble,catboost_tuning_ensemble,rank_average_4_d6_lr0015_l210_sqrt_rs1__d6_lr0015_l210_custom025_rs1__d6_lr0015_l210_custom025_rs1__d6_lr0015_l210_custom025_rs1,best_f1,0.05,525,149,0.2838095238095238,0.15817409766454352,0.0897484756097561,3.162276817308664
test,catboost_tuning_ensemble,catboost_tuning_ensemble,rank_average_4_d6_lr0015_l210_sqrt_rs1__d6_lr0015_l210_custom025_rs1__d6_lr0015_l210_custom025_rs1__d6_lr0015_l210_custom025_rs1,best_f1,0.1,1050,245,0.23333333333333334,0.26008492569002123,0.0897484756097561,2.599858457183298
test,catboost_tuning_ensemble,catboost_tuning_ensemble,rank_average_4_d6_lr0015_l210_sqrt_rs1__d6_lr0015_l210_custom025_rs1__d6_lr0015_l210_custom025_rs1__d6_lr0015_l210_custom025_rs1,best_f1,0.2,2100,360,0.17142857142857143,0.3821656050955414,0.0897484756097561,1.9101000909918107
test,catboost_tuning_ensemble,catboost_tuning_ensemble,score_average_3_d6_lr0015_l210_custom025_rs1__d7_lr0010_l220_sqrt_rs3__d6_lr0015_l210_sqrt_rs1,best_f1,0.01,105,49,0.4666666666666667,0.05201698513800425,0.0897484756097561,5.199716914366596
test,catboost_tuning_ensemble,catboost_tuning_ensemble,score_average_3_d6_lr0015_l210_custom025_rs1__d7_lr0010_l220_sqrt_rs3__d6_lr0015_l210_sqrt_rs1,best_f1,0.05,525,149,0.2838095238095238,0.15817409766454352,0.0897484756097561,3.162276817308664
test,catboost_tuning_ensemble,catboost_tuning_ensemble,score_average_3_d6_lr0015_l210_custom025_rs1__d7_lr0010_l220_sqrt_rs3__d6_lr0015_l210_sqrt_rs1,best_f1,0.1,1050,242,0.23047619047619047,0.25690021231422505,0.0897484756097561,2.5680234556667676
test,catboost_tuning_ensemble,catboost_tuning_ensemble,score_average_3_d6_lr0015_l210_custom025_rs1__d7_lr0010_l220_sqrt_rs3__d6_lr0015_l210_sqrt_rs1,best_f1,0.2,2100,361,0.1719047619047619,0.3832271762208068,0.0897484756097561,1.915405924577899
test,catboost_tuning_ensemble,catboost_tuning_ensemble,score_average_4_d5_lr0018_l28_sqrt_rs2__d7_lr0010_l220_sqrt_rs3__d6_lr0015_l210_custom025_rs1__d6_lr0015_l210_sqrt_rs1,best_f1,0.01,105,48,0.45714285714285713,0.050955414012738856,0.0897484756097561,5.093600242644828
test,catboost_tuning_ensemble,catboost_tuning_ensemble,score_average_4_d5_lr0018_l28_sqrt_rs2__d7_lr0010_l220_sqrt_rs3__d6_lr0015_l210_custom025_rs1__d6_lr0015_l210_sqrt_rs1,best_f1,0.05,525,151,0.2876190476190476,0.1602972399150743,0.0897484756097561,3.2047234859973712
test,catboost_tuning_ensemble,catboost_tuning_ensemble,score_average_4_d5_lr0018_l28_sqrt_rs2__d7_lr0010_l220_sqrt_rs3__d6_lr0015_l210_custom025_rs1__d6_lr0015_l210_sqrt_rs1,best_f1,0.1,1050,242,0.23047619047619047,0.25690021231422505,0.0897484756097561,2.5680234556667676
test,catboost_tuning_ensemble,catboost_tuning_ensemble,score_average_4_d5_lr0018_l28_sqrt_rs2__d7_lr0010_l220_sqrt_rs3__d6_lr0015_l210_custom025_rs1__d6_lr0015_l210_sqrt_rs1,best_f1,0.2,2100,357,0.17,0.37898089171974525,0.0897484756097561,1.8941825902335456
test,catboost_tuning_ensemble,catboost_tuning_ensemble,rank_average_3_d6_lr0015_l210_sqrt_rs1__d6_lr0015_l210_sqrt_rs1__d6_lr0015_l210_custom025_rs1,best_f1,0.01,105,48,0.45714285714285713,0.050955414012738856,0.0897484756097561,5.093600242644828
test,catboost_tuning_ensemble,catboost_tuning_ensemble,rank_average_3_d6_lr0015_l210_sqrt_rs1__d6_lr0015_l210_sqrt_rs1__d6_lr0015_l210_custom025_rs1,best_f1,0.05,525,150,0.2857142857142857,0.1592356687898089,0.0897484756097561,3.1835001516530177
test,catboost_tuning_ensemble,catboost_tuning_ensemble,rank_average_3_d6_lr0015_l210_sqrt_rs1__d6_lr0015_l210_sqrt_rs1__d6_lr0015_l210_custom025_rs1,best_f1,0.1,1050,243,0.23142857142857143,0.25796178343949044,0.0897484756097561,2.5786351228389446
test,catboost_tuning_ensemble,catboost_tuning_ensemble,rank_average_3_d6_lr0015_l210_sqrt_rs1__d6_lr0015_l210_sqrt_rs1__d6_lr0015_l210_custom025_rs1,best_f1,0.2,2100,364,0.17333333333333334,0.386411889596603,0.0897484756097561,1.9313234253361642
test,catboost_tuning_ensemble,catboost_tuning_ensemble,rank_average_2_d6_lr0015_l210_custom025_rs1__d6_lr0015_l210_sqrt_rs1,max_recall_precision_ge_0.20,0.01,105,53,0.5047619047619047,0.05626326963906582,0.0897484756097561,5.624183601253664
test,catboost_tuning_ensemble,catboost_tuning_ensemble,rank_average_2_d6_lr0015_l210_custom025_rs1__d6_lr0015_l210_sqrt_rs1,max_recall_precision_ge_0.20,0.05,525,145,0.2761904761904762,0.15392781316348195,0.0897484756097561,3.0773834799312505
