threshold,pr_auc,roc_auc,recall,precision,f1,accuracy,tn,fp,fn,tp,experiment_type,feature_config,model_name,n_columns,fit_seconds,best_iteration,split,threshold_strategy
0.5,0.28120415260594167,0.708473248520667,0.10736368746486791,0.4897435897435897,0.1761180267404334,0.8814279079025944,13093,199,1588,191,patient_history_tuning,history_tuned_indicator_cat_interactions,HistoryTuneCat_d5_lr002_l210_cw025,199,59.23522499995306,1497,validation,default_0.5
0.2536499662104821,0.28120415260594167,0.708473248520667,0.4508150646430579,0.2650363516192994,0.3338189386056191,0.7876053347488554,11068,2224,977,802,patient_history_tuning,history_tuned_indicator_cat_interactions,HistoryTuneCat_d5_lr002_l210_cw025,199,59.23522499995306,1497,validation,best_f1
0.17545691842567576,0.28120415260594167,0.708473248520667,0.7054525014052838,0.1887218045112782,0.2977814687388777,0.6072589741888395,7897,5395,524,1255,patient_history_tuning,history_tuned_indicator_cat_interactions,HistoryTuneCat_d5_lr002_l210_cw025,199,59.23522499995306,1497,validation,best_f2
0.06939484424938948,0.28120415260594167,0.708473248520667,0.9955030916245081,0.12000271039436237,0.2141863699582754,0.13774799283391945,305,12987,8,1771,patient_history_tuning,history_tuned_indicator_cat_interactions,HistoryTuneCat_d5_lr002_l210_cw025,199,59.23522499995306,1497,validation,max_recall_precision_ge_0.12
0.12638844684655867,0.28120415260594167,0.708473248520667,0.8695896571107363,0.15000484824978183,0.2558716506781343,0.4029593258576073,4526,8766,232,1547,patient_history_tuning,history_tuned_indicator_cat_interactions,HistoryTuneCat_d5_lr002_l210_cw025,199,59.23522499995306,1497,validation,max_recall_precision_ge_0.15
0.18914083097245762,0.28120415260594167,0.708473248520667,0.654300168634064,0.2,0.30635609948677456,0.6502554575011612,8636,4656,615,1164,patient_history_tuning,history_tuned_indicator_cat_interactions,HistoryTuneCat_d5_lr002_l210_cw025,199,59.23522499995306,1497,validation,max_recall_precision_ge_0.20
0.5,0.23731754531875332,0.6827502120367325,0.08134556574923547,0.4249201277955272,0.13655030800821355,0.886565956298894,13013,180,1502,133,patient_history_tuning,history_tuned_indicator_cat_interactions,HistoryTuneCat_d5_lr002_l210_cw025,199,59.23522499995306,1497,test,default_0.5
0.25092944085769975,0.23731754531875332,0.6827502120367325,0.41284403669724773,0.22628226617499161,0.29233434387180596,0.7796061505260319,10885,2308,960,675,patient_history_tuning,history_tuned_indicator_cat_interactions,HistoryTuneCat_d5_lr002_l210_cw025,199,59.23522499995306,1497,test,best_f1
0.14195190320319145,0.23731754531875332,0.6827502120367325,0.7926605504587156,0.15012162631761844,0.2524347487339307,0.4823307256541678,5856,7337,339,1296,patient_history_tuning,history_tuned_indicator_cat_interactions,HistoryTuneCat_d5_lr002_l210_cw025,199,59.23522499995306,1497,test,best_f2
0.09258533073622363,0.23731754531875332,0.6827502120367325,0.9602446483180428,0.12000305740273638,0.2133442043755945,0.21917992986242243,1680,11513,65,1570,patient_history_tuning,history_tuned_indicator_cat_interactions,HistoryTuneCat_d5_lr002_l210_cw025,199,59.23522499995306,1497,test,max_recall_precision_ge_0.12
0.14188097904005914,0.23731754531875332,0.6827502120367325,0.7926605504587156,0.15,0.25226277372262773,0.48185864580523335,5849,7344,339,1296,patient_history_tuning,history_tuned_indicator_cat_interactions,HistoryTuneCat_d5_lr002_l210_cw025,199,59.23522499995306,1497,test,max_recall_precision_ge_0.15
0.2213360613908567,0.23731754531875332,0.6827502120367325,0.490519877675841,0.2,0.2841452612931798,0.727475047207985,9985,3208,833,802,patient_history_tuning,history_tuned_indicator_cat_interactions,HistoryTuneCat_d5_lr002_l210_cw025,199,59.23522499995306,1497,test,max_recall_precision_ge_0.20
