split,experiment_family,feature_config,model_name,threshold_strategy,top_fraction,n_flagged,positives_captured,precision_at_k,recall_at_k,base_rate,lift
test,feature_engineering_native_catboost,fe_summary_cat_interactions,FE_NativeCat_d6_lr0.015_l210_SqrtBalanced,best_f1,0.2,2100,367,0.17476190476190476,0.3895966029723992,0.0897484756097561,1.9472409260944292
test,feature_engineering_native_catboost,fe_weight_indicator_core,FE_NativeCat_d6_lr0.015_l210_customPW025,best_f1,0.01,105,51,0.4857142857142857,0.054140127388535034,0.0897484756097561,5.41195025781013
test,feature_engineering_native_catboost,fe_weight_indicator_core,FE_NativeCat_d6_lr0.015_l210_customPW025,best_f1,0.05,525,151,0.2876190476190476,0.1602972399150743,0.0897484756097561,3.2047234859973712
test,feature_engineering_native_catboost,fe_weight_indicator_core,FE_NativeCat_d6_lr0.015_l210_customPW025,best_f1,0.1,1050,242,0.23047619047619047,0.25690021231422505,0.0897484756097561,2.5680234556667676
test,feature_engineering_native_catboost,fe_weight_indicator_core,FE_NativeCat_d6_lr0.015_l210_customPW025,best_f1,0.2,2100,374,0.17809523809523808,0.3970276008492569,0.0897484756097561,1.9843817611970476
test,feature_engineering_native_catboost,fe_weight_indicator_core,FE_NativeCat_d6_lr0.015_l210_customPW025,max_recall_precision_ge_0.20,0.01,105,51,0.4857142857142857,0.054140127388535034,0.0897484756097561,5.41195025781013
test,feature_engineering_native_catboost,fe_weight_indicator_core,FE_NativeCat_d6_lr0.015_l210_customPW025,max_recall_precision_ge_0.20,0.05,525,151,0.2876190476190476,0.1602972399150743,0.0897484756097561,3.2047234859973712
test,feature_engineering_native_catboost,fe_weight_indicator_core,FE_NativeCat_d6_lr0.015_l210_customPW025,max_recall_precision_ge_0.20,0.1,1050,242,0.23047619047619047,0.25690021231422505,0.0897484756097561,2.5680234556667676
test,feature_engineering_native_catboost,fe_weight_indicator_core,FE_NativeCat_d6_lr0.015_l210_customPW025,max_recall_precision_ge_0.20,0.2,2100,374,0.17809523809523808,0.3970276008492569,0.0897484756097561,1.9843817611970476
test,feature_engineering_encoded_boosting,fe_raw_age_weight_core,FE_OHE_XGB_d5_spw050,max_recall_precision_ge_0.20,0.01,105,47,0.44761904761904764,0.049893842887473464,0.0897484756097561,4.987483570923062
test,feature_engineering_encoded_boosting,fe_raw_age_weight_core,FE_OHE_XGB_d5_spw050,max_recall_precision_ge_0.20,0.05,525,137,0.26095238095238094,0.1454352441613588,0.0897484756097561,2.9075968051764227
test,feature_engineering_encoded_boosting,fe_raw_age_weight_core,FE_OHE_XGB_d5_spw050,max_recall_precision_ge_0.20,0.1,1050,238,0.22666666666666666,0.2526539278131635,0.0897484756097561,2.5255767869780605
test,feature_engineering_encoded_boosting,fe_raw_age_weight_core,FE_OHE_XGB_d5_spw050,max_recall_precision_ge_0.20,0.2,2100,373,0.17761904761904762,0.39596602972399153,0.0897484756097561,1.9790759276109593
test,feature_engineering_encoded_boosting,fe_summary_cat_interactions,FE_OHE_XGB_d5_spw050,max_recall_precision_ge_0.20,0.01,105,49,0.4666666666666667,0.05201698513800425,0.0897484756097561,5.199716914366596
test,feature_engineering_encoded_boosting,fe_summary_cat_interactions,FE_OHE_XGB_d5_spw050,max_recall_precision_ge_0.20,0.05,525,143,0.2723809523809524,0.15180467091295116,0.0897484756097561,3.034936811242544
test,feature_engineering_encoded_boosting,fe_summary_cat_interactions,FE_OHE_XGB_d5_spw050,max_recall_precision_ge_0.20,0.1,1050,234,0.22285714285714286,0.2484076433121019,0.0897484756097561,2.483130118289354
test,feature_engineering_encoded_boosting,fe_summary_cat_interactions,FE_OHE_XGB_d5_spw050,max_recall_precision_ge_0.20,0.2,2100,373,0.17761904761904762,0.39596602972399153,0.0897484756097561,1.9790759276109593
test,feature_engineering_native_catboost,fe_weight_indicator_core,FE_NativeCat_d5_lr0.018_l28_SqrtBalanced,max_recall_precision_ge_0.20,0.01,105,47,0.44761904761904764,0.049893842887473464,0.0897484756097561,4.987483570923062
test,feature_engineering_native_catboost,fe_weight_indicator_core,FE_NativeCat_d5_lr0.018_l28_SqrtBalanced,max_recall_precision_ge_0.20,0.05,525,148,0.2819047619047619,0.15711252653927812,0.0897484756097561,3.1410534829643106
test,feature_engineering_native_catboost,fe_weight_indicator_core,FE_NativeCat_d5_lr0.018_l28_SqrtBalanced,max_recall_precision_ge_0.20,0.1,1050,243,0.23142857142857143,0.25796178343949044,0.0897484756097561,2.5786351228389446
test,feature_engineering_native_catboost,fe_weight_indicator_core,FE_NativeCat_d5_lr0.018_l28_SqrtBalanced,max_recall_precision_ge_0.20,0.2,2100,375,0.17857142857142858,0.3980891719745223,0.0897484756097561,1.989687594783136
test,feature_engineering_native_catboost,fe_raw_age_weight_core,FE_NativeCat_d5_lr0.018_l28_SqrtBalanced,max_recall_precision_ge_0.20,0.01,105,47,0.44761904761904764,0.049893842887473464,0.0897484756097561,4.987483570923062
test,feature_engineering_native_catboost,fe_raw_age_weight_core,FE_NativeCat_d5_lr0.018_l28_SqrtBalanced,max_recall_precision_ge_0.20,0.05,525,147,0.28,0.15605095541401273,0.0897484756097561,3.1198301486199576
test,feature_engineering_native_catboost,fe_raw_age_weight_core,FE_NativeCat_d5_lr0.018_l28_SqrtBalanced,max_recall_precision_ge_0.20,0.1,1050,240,0.22857142857142856,0.25477707006369427,0.0897484756097561,2.546800121322414
test,feature_engineering_native_catboost,fe_raw_age_weight_core,FE_NativeCat_d5_lr0.018_l28_SqrtBalanced,max_recall_precision_ge_0.20,0.2,2100,360,0.17142857142857143,0.3821656050955414,0.0897484756097561,1.9101000909918107
test,feature_engineering_native_catboost,fe_summary_diag_raw,FE_NativeCat_d5_lr0.018_l28_SqrtBalanced,max_recall_precision_ge_0.20,0.01,105,46,0.4380952380952381,0.04883227176220807,0.0897484756097561,4.881366899201294
test,feature_engineering_native_catboost,fe_summary_diag_raw,FE_NativeCat_d5_lr0.018_l28_SqrtBalanced,max_recall_precision_ge_0.20,0.05,525,145,0.2761904761904762,0.15392781316348195,0.0897484756097561,3.0773834799312505
test,feature_engineering_native_catboost,fe_summary_diag_raw,FE_NativeCat_d5_lr0.018_l28_SqrtBalanced,max_recall_precision_ge_0.20,0.1,1050,240,0.22857142857142856,0.25477707006369427,0.0897484756097561,2.546800121322414
test,feature_engineering_native_catboost,fe_summary_diag_raw,FE_NativeCat_d5_lr0.018_l28_SqrtBalanced,max_recall_precision_ge_0.20,0.2,2100,369,0.1757142857142857,0.39171974522292996,0.0897484756097561,1.957852593266606
test,feature_engineering_native_catboost,fe_summary_core,FE_NativeCat_d5_lr0.018_l28_SqrtBalanced,max_recall_precision_ge_0.20,0.01,105,47,0.44761904761904764,0.049893842887473464,0.0897484756097561,4.987483570923062
test,feature_engineering_native_catboost,fe_summary_core,FE_NativeCat_d5_lr0.018_l28_SqrtBalanced,max_recall_precision_ge_0.20,0.05,525,151,0.2876190476190476,0.1602972399150743,0.0897484756097561,3.2047234859973712
test,feature_engineering_native_catboost,fe_summary_core,FE_NativeCat_d5_lr0.018_l28_SqrtBalanced,max_recall_precision_ge_0.20,0.1,1050,246,0.2342857142857143,0.2611464968152866,0.0897484756097561,2.6104701243554747
test,feature_engineering_native_catboost,fe_summary_core,FE_NativeCat_d5_lr0.018_l28_SqrtBalanced,max_recall_precision_ge_0.20,0.2,2100,374,0.17809523809523808,0.3970276008492569,0.0897484756097561,1.9843817611970476
test,feature_engineering_encoded_boosting,fe_summary_core,FE_OHE_XGB_d5_spw050,max_recall_precision_ge_0.20,0.01,105,45,0.42857142857142855,0.04777070063694268,0.0897484756097561,4.7752502274795265
test,feature_engineering_encoded_boosting,fe_summary_core,FE_OHE_XGB_d5_spw050,max_recall_precision_ge_0.20,0.05,525,138,0.26285714285714284,0.1464968152866242,0.0897484756097561,2.9288201395207762
test,feature_engineering_encoded_boosting,fe_summary_core,FE_OHE_XGB_d5_spw050,max_recall_precision_ge_0.20,0.1,1050,233,0.2219047619047619,0.24734607218683652,0.0897484756097561,2.4725184511171774
test,feature_engineering_encoded_boosting,fe_summary_core,FE_OHE_XGB_d5_spw050,max_recall_precision_ge_0.20,0.2,2100,375,0.17857142857142858,0.3980891719745223,0.0897484756097561,1.989687594783136
test,feature_engineering_native_catboost,fe_raw_age_weight_core,FE_NativeCat_d6_lr0.015_l210_customPW025,max_recall_precision_ge_0.20,0.01,105,51,0.4857142857142857,0.054140127388535034,0.0897484756097561,5.41195025781013
test,feature_engineering_native_catboost,fe_raw_age_weight_core,FE_NativeCat_d6_lr0.015_l210_customPW025,max_recall_precision_ge_0.20,0.05,525,147,0.28,0.15605095541401273,0.0897484756097561,3.1198301486199576
test,feature_engineering_native_catboost,fe_raw_age_weight_core,FE_NativeCat_d6_lr0.015_l210_customPW025,max_recall_precision_ge_0.20,0.1,1050,237,0.2257142857142857,0.2515923566878981,0.0897484756097561,2.514965119805884
test,feature_engineering_native_catboost,fe_raw_age_weight_core,FE_NativeCat_d6_lr0.015_l210_customPW025,max_recall_precision_ge_0.20,0.2,2100,361,0.1719047619047619,0.3832271762208068,0.0897484756097561,1.915405924577899
test,feature_engineering_native_catboost,fe_summary_diag_raw,FE_NativeCat_d6_lr0.015_l210_SqrtBalanced,max_recall_precision_ge_0.15,0.01,105,51,0.4857142857142857,0.054140127388535034,0.0897484756097561,5.41195025781013
test,feature_engineering_native_catboost,fe_summary_diag_raw,FE_NativeCat_d6_lr0.015_l210_SqrtBalanced,max_recall_precision_ge_0.15,0.05,525,147,0.28,0.15605095541401273,0.0897484756097561,3.1198301486199576
test,feature_engineering_native_catboost,fe_summary_diag_raw,FE_NativeCat_d6_lr0.015_l210_SqrtBalanced,max_recall_precision_ge_0.15,0.1,1050,243,0.23142857142857143,0.25796178343949044,0.0897484756097561,2.5786351228389446
test,feature_engineering_native_catboost,fe_summary_diag_raw,FE_NativeCat_d6_lr0.015_l210_SqrtBalanced,max_recall_precision_ge_0.15,0.2,2100,370,0.1761904761904762,0.39278131634819535,0.0897484756097561,1.9631584268526945
test,feature_engineering_native_catboost,fe_summary_core,FE_NativeCat_d6_lr0.015_l210_SqrtBalanced,max_recall_precision_ge_0.15,0.01,105,48,0.45714285714285713,0.050955414012738856,0.0897484756097561,5.093600242644828
test,feature_engineering_native_catboost,fe_summary_core,FE_NativeCat_d6_lr0.015_l210_SqrtBalanced,max_recall_precision_ge_0.15,0.05,525,151,0.2876190476190476,0.1602972399150743,0.0897484756097561,3.2047234859973712
test,feature_engineering_native_catboost,fe_summary_core,FE_NativeCat_d6_lr0.015_l210_SqrtBalanced,max_recall_precision_ge_0.15,0.1,1050,237,0.2257142857142857,0.2515923566878981,0.0897484756097561,2.514965119805884
test,feature_engineering_native_catboost,fe_summary_core,FE_NativeCat_d6_lr0.015_l210_SqrtBalanced,max_recall_precision_ge_0.15,0.2,2100,370,0.1761904761904762,0.39278131634819535,0.0897484756097561,1.9631584268526945
test,feature_engineering_native_catboost,fe_weight_indicator_core,FE_NativeCat_d5_lr0.018_l28_SqrtBalanced,max_recall_precision_ge_0.15,0.01,105,47,0.44761904761904764,0.049893842887473464,0.0897484756097561,4.987483570923062
test,feature_engineering_native_catboost,fe_weight_indicator_core,FE_NativeCat_d5_lr0.018_l28_SqrtBalanced,max_recall_precision_ge_0.15,0.05,525,148,0.2819047619047619,0.15711252653927812,0.0897484756097561,3.1410534829643106
test,feature_engineering_native_catboost,fe_weight_indicator_core,FE_NativeCat_d5_lr0.018_l28_SqrtBalanced,max_recall_precision_ge_0.15,0.1,1050,243,0.23142857142857143,0.25796178343949044,0.0897484756097561,2.5786351228389446
test,feature_engineering_native_catboost,fe_weight_indicator_core,FE_NativeCat_d5_lr0.018_l28_SqrtBalanced,max_recall_precision_ge_0.15,0.2,2100,375,0.17857142857142858,0.3980891719745223,0.0897484756097561,1.989687594783136
