threshold,pr_auc,roc_auc,recall,precision,f1,accuracy,tn,fp,fn,tp,split,experiment_type,feature_config,model_name,row_order_seed,model_seed,negative_ratio,bootstrap_type,bagging_temperature,subsample,boosting_type,random_strength,l2_leaf_reg,train_subset_rows,n_columns,fit_seconds,best_iteration,status,error,threshold_strategy
0.0946749533265484,0.28160163723422876,0.7094805025427053,0.7341202922990444,0.18569600454997867,0.29641398093508853,0.5886138942339593,7565,5727,473,1306,validation,history_catboost_bootstrap_search,history_bootstrap_indicator_cat_interactions,BootstrapCat_full_bayesian_temp0,202,202,-1.0,Bayesian,0.0,,Default,1.0,10.0,69444,199,51.78756049997173,880,ok,,best_f2
0.04416563624830693,0.28160163723422876,0.7094805025427053,0.9966273187183811,0.12,0.21420804639362087,0.13688540906376484,290,13002,6,1773,validation,history_catboost_bootstrap_search,history_bootstrap_indicator_cat_interactions,BootstrapCat_full_bayesian_temp0,202,202,-1.0,Bayesian,0.0,,Default,1.0,10.0,69444,199,51.78756049997173,880,ok,,max_recall_precision_ge_0.12
0.07054021397461455,0.28160163723422876,0.7094805025427053,0.8695896571107363,0.15000484824978183,0.2558716506781343,0.4029593258576073,4526,8766,232,1547,validation,history_catboost_bootstrap_search,history_bootstrap_indicator_cat_interactions,BootstrapCat_full_bayesian_temp0,202,202,-1.0,Bayesian,0.0,,Default,1.0,10.0,69444,199,51.78756049997173,880,ok,,max_recall_precision_ge_0.15
0.10464914924810109,0.28160163723422876,0.7094805025427053,0.6683530073074762,0.2,0.3078715691351631,0.6452790126733462,8536,4756,590,1189,validation,history_catboost_bootstrap_search,history_bootstrap_indicator_cat_interactions,BootstrapCat_full_bayesian_temp0,202,202,-1.0,Bayesian,0.0,,Default,1.0,10.0,69444,199,51.78756049997173,880,ok,,max_recall_precision_ge_0.20
0.5,0.23488749173380813,0.6809203564766878,0.02018348623853211,0.5076923076923077,0.03882352941176471,0.8898030752630159,13161,32,1602,33,test,history_catboost_bootstrap_search,history_bootstrap_indicator_cat_interactions,BootstrapCat_full_bayesian_temp0,202,202,-1.0,Bayesian,0.0,,Default,1.0,10.0,69444,199,51.78756049997173,880,ok,,default_0.5
0.12972297635692057,0.23488749173380813,0.6809203564766878,0.4782874617737003,0.2073720498541501,0.2893081761006289,0.7408956029134071,10204,2989,853,782,test,history_catboost_bootstrap_search,history_bootstrap_indicator_cat_interactions,BootstrapCat_full_bayesian_temp0,202,202,-1.0,Bayesian,0.0,,Default,1.0,10.0,69444,199,51.78756049997173,880,ok,,best_f1
0.0838513717754776,0.23488749173380813,0.6809203564766878,0.7547400611620795,0.15436577433074805,0.2563090663620314,0.5170623145400594,6433,6760,401,1234,test,history_catboost_bootstrap_search,history_bootstrap_indicator_cat_interactions,BootstrapCat_full_bayesian_temp0,202,202,-1.0,Bayesian,0.0,,Default,1.0,10.0,69444,199,51.78756049997173,880,ok,,best_f2
0.053819544180578556,0.23488749173380813,0.6809203564766878,0.9657492354740062,0.1200030399756802,0.21347934834043128,0.21533585109252765,1614,11579,56,1579,test,history_catboost_bootstrap_search,history_bootstrap_indicator_cat_interactions,BootstrapCat_full_bayesian_temp0,202,202,-1.0,Bayesian,0.0,,Default,1.0,10.0,69444,199,51.78756049997173,880,ok,,max_recall_precision_ge_0.12
0.08039327757544922,0.23488749173380813,0.6809203564766878,0.7730886850152905,0.15001186802753383,0.2512672696551039,0.49197464256811435,6031,7162,371,1264,test,history_catboost_bootstrap_search,history_bootstrap_indicator_cat_interactions,BootstrapCat_full_bayesian_temp0,202,202,-1.0,Bayesian,0.0,,Default,1.0,10.0,69444,199,51.78756049997173,880,ok,,max_recall_precision_ge_0.15
0.1242977357058006,0.23488749173380813,0.6809203564766878,0.5051987767584097,0.2,0.2865568083261058,0.722619368761802,9889,3304,809,826,test,history_catboost_bootstrap_search,history_bootstrap_indicator_cat_interactions,BootstrapCat_full_bayesian_temp0,202,202,-1.0,Bayesian,0.0,,Default,1.0,10.0,69444,199,51.78756049997173,880,ok,,max_recall_precision_ge_0.20
0.5,0.2812115911991272,0.7090763829930119,0.04215851602023609,0.5639097744360902,0.07845188284518828,0.8830867228451994,13234,58,1704,75,validation,history_catboost_bootstrap_search,history_bootstrap_indicator_cat_interactions,BootstrapCat_full_bayesian_temp0.5,202,202,-1.0,Bayesian,0.5,,Default,1.0,10.0,69444,199,76.35738258308265,1499,ok,,default_0.5
0.1536379522219189,0.2812115911991272,0.7090763829930119,0.4266441821247892,0.2753991291727141,0.3347298787210584,0.7998142127264283,11295,1997,1020,759,validation,history_catboost_bootstrap_search,history_bootstrap_indicator_cat_interactions,BootstrapCat_full_bayesian_temp0.5,202,202,-1.0,Bayesian,0.5,,Default,1.0,10.0,69444,199,76.35738258308265,1499,ok,,best_f1
0.0936767781457126,0.2812115911991272,0.7090763829930119,0.7374929735806633,0.18295914098452098,0.2931843575418994,0.5802534669232301,7433,5859,467,1312,validation,history_catboost_bootstrap_search,history_bootstrap_indicator_cat_interactions,BootstrapCat_full_bayesian_temp0.5,202,202,-1.0,Bayesian,0.5,,Default,1.0,10.0,69444,199,76.35738258308265,1499,ok,,best_f2
