threshold,pr_auc,roc_auc,recall,precision,f1,accuracy,tn,fp,fn,tp,experiment_type,feature_config,model_name,trial_number,negative_ratio,row_order_seed,model_seed,iterations,learning_rate,depth,l2_leaf_reg,random_strength,border_count,bootstrap_type,bagging_temperature,subsample,class_weight_mode,pos_weight_multiplier,n_columns,train_subset_rows,fit_seconds,best_iteration,objective,split,threshold_strategy
0.09819461767101768,0.28583923298457625,0.7103528104070341,0.7251264755480608,0.18603980386501298,0.29610926202226556,0.5930595182801407,7648,5644,489,1290,history_catboost_optuna,history_optuna_indicator_cat_interactions,OptunaCat_trial001,1,8.0,202,202,1500,0.02,6,10.0,1.0,254,Default,,,none,,199,69444,69.00326583301648,1466,validation_pr_auc,validation,best_f2
0.041939962067067856,0.28583923298457625,0.7103528104070341,0.9955030916245081,0.12000271039436237,0.2141863699582754,0.13774799283391945,305,12987,8,1771,history_catboost_optuna,history_optuna_indicator_cat_interactions,OptunaCat_trial001,1,8.0,202,202,1500,0.02,6,10.0,1.0,254,Default,,,none,,199,69444,69.00326583301648,1466,validation_pr_auc,validation,max_recall_precision_ge_0.12
0.07049831676015042,0.28583923298457625,0.7103528104070341,0.8825182686902754,0.1500095547487101,0.2564311964066966,0.3958595979032579,4396,8896,209,1570,history_catboost_optuna,history_optuna_indicator_cat_interactions,OptunaCat_trial001,1,8.0,202,202,1500,0.02,6,10.0,1.0,254,Default,,,none,,199,69444,69.00326583301648,1466,validation_pr_auc,validation,max_recall_precision_ge_0.15
0.10823990973134817,0.28583923298457625,0.7103528104070341,0.6621697582911749,0.2,0.3072108488720824,0.6474686483975848,8580,4712,601,1178,history_catboost_optuna,history_optuna_indicator_cat_interactions,OptunaCat_trial001,1,8.0,202,202,1500,0.02,6,10.0,1.0,254,Default,,,none,,199,69444,69.00326583301648,1466,validation_pr_auc,validation,max_recall_precision_ge_0.20
0.5,0.2415173498930586,0.6816812084807276,0.031192660550458717,0.6071428571428571,0.059336823734729496,0.8909495548961425,13160,33,1584,51,history_catboost_optuna,history_optuna_indicator_cat_interactions,OptunaCat_trial001,1,8.0,202,202,1500,0.02,6,10.0,1.0,254,Default,,,none,,199,69444,69.00326583301648,1466,validation_pr_auc,test,default_0.5
0.14089775734817403,0.2415173498930586,0.6816812084807276,0.44464831804281346,0.21598336304218657,0.2907418516296741,0.7607903965470731,10554,2639,908,727,history_catboost_optuna,history_optuna_indicator_cat_interactions,OptunaCat_trial001,1,8.0,202,202,1500,0.02,6,10.0,1.0,254,Default,,,none,,199,69444,69.00326583301648,1466,validation_pr_auc,test,best_f1
0.08286389501958984,0.2415173498930586,0.6816812084807276,0.7761467889908257,0.1517216642754663,0.2538253825382538,0.49683032101429725,6098,7095,366,1269,history_catboost_optuna,history_optuna_indicator_cat_interactions,OptunaCat_trial001,1,8.0,202,202,1500,0.02,6,10.0,1.0,254,Default,,,none,,199,69444,69.00326583301648,1466,validation_pr_auc,test,best_f2
0.0538349364670184,0.2415173498930586,0.6816812084807276,0.9547400611620795,0.1200030750307503,0.21320767602267296,0.22302400863231725,1746,11447,74,1561,history_catboost_optuna,history_optuna_indicator_cat_interactions,OptunaCat_trial001,1,8.0,202,202,1500,0.02,6,10.0,1.0,254,Default,,,none,,199,69444,69.00326583301648,1466,validation_pr_auc,test,max_recall_precision_ge_0.12
0.08184693412739755,0.2415173498930586,0.6816812084807276,0.7798165137614679,0.15,0.25160335471139617,0.48846776369031564,5968,7225,360,1275,history_catboost_optuna,history_optuna_indicator_cat_interactions,OptunaCat_trial001,1,8.0,202,202,1500,0.02,6,10.0,1.0,254,Default,,,none,,199,69444,69.00326583301648,1466,validation_pr_auc,test,max_recall_precision_ge_0.15
0.1295542316088726,0.2415173498930586,0.6816812084807276,0.4929663608562691,0.2,0.28455428067078553,0.7266657674669544,9969,3224,829,806,history_catboost_optuna,history_optuna_indicator_cat_interactions,OptunaCat_trial001,1,8.0,202,202,1500,0.02,6,10.0,1.0,254,Default,,,none,,199,69444,69.00326583301648,1466,validation_pr_auc,test,max_recall_precision_ge_0.20
