split,seed,config,avg_precision,trapz_pr_auc,roc_auc,test_pos_rate,fit_seconds,patient_overlap
stratified,0,onehot_sklearn_default,0.21725134740323276,0.21687387992318546,0.6663692539108577,0.11287427592396182,0.9652098749065772,7817
stratified,0,onehot_max_features5,0.21184693444070848,0.21146988671032835,0.664057580797963,0.11287427592396182,0.6884081669850275,7817
stratified,0,onehot_log2,0.21293648915897997,0.2125678674576776,0.6647432429605044,0.11287427592396182,0.7003795420750976,7817
stratified,0,ordinal_max_features5,0.20961754293035662,0.2093152571551353,0.6591637770025697,0.11287427592396182,0.7685304590268061,7817
stratified,0,ordinal_default,0.20800460818043015,0.20755740370927778,0.6575521410436267,0.11287427592396182,0.7274105419637635,7817
stratified,1,onehot_sklearn_default,0.21735506796720247,0.21702184925963475,0.6629404943989966,0.11287427592396182,0.804113500053063,7855
stratified,1,onehot_max_features5,0.20970025968457606,0.2093049791014742,0.6612979148169252,0.11287427592396182,0.6985013750381768,7855
stratified,1,onehot_log2,0.21093014182381994,0.21055818886123057,0.662736510778111,0.11287427592396182,0.7197146669495851,7855
stratified,1,ordinal_max_features5,0.2134723218618914,0.21319579681713657,0.6561406996904923,0.11287427592396182,0.7863749579992145,7855
stratified,1,ordinal_default,0.21195647254263905,0.2117108524904238,0.6543994312223052,0.11287427592396182,0.7270882920129225,7855
stratified,2,onehot_sklearn_default,0.21286777610598043,0.21246292516800605,0.6677767317547998,0.11287427592396182,0.7998589579947293,7880
stratified,2,onehot_max_features5,0.20693645891772783,0.20658802867683806,0.6660069791995868,0.11287427592396182,0.7031166249653324,7880
stratified,2,onehot_log2,0.21140919092102306,0.2111144749698331,0.6670873138141558,0.11287427592396182,0.72047512489371,7880
stratified,2,ordinal_max_features5,0.21193254541604375,0.21161317003517402,0.663421391871755,0.11287427592396182,0.7882027090527117,7880
stratified,2,ordinal_default,0.21048990719668365,0.21011392745241766,0.6626134508805464,0.11287427592396182,0.7698073749197647,7880
stratified,3,onehot_sklearn_default,0.21580652810320194,0.21536039704795937,0.663586496541884,0.11287427592396182,0.8143382919952273,7965
stratified,3,onehot_max_features5,0.21149185900331202,0.2110550888691361,0.6595859115046613,0.11287427592396182,0.7016820000717416,7965
stratified,3,onehot_log2,0.21293307195715638,0.2125526311760598,0.6621399486345827,0.11287427592396182,0.7189436659682542,7965
stratified,3,ordinal_max_features5,0.20452555616957385,0.20418175890620432,0.6559034541675169,0.11287427592396182,0.8005428339820355,7965
stratified,3,ordinal_default,0.2021397606291884,0.20181397906111384,0.6537130378463278,0.11287427592396182,0.7318044169805944,7965
stratified,4,onehot_sklearn_default,0.2162405689931628,0.2158463096174887,0.6666611991843845,0.11287427592396182,0.7947667080443352,7769
stratified,4,onehot_max_features5,0.21018944862241112,0.209739235530643,0.6611728274639247,0.11287427592396182,0.726602541981265,7769
stratified,4,onehot_log2,0.2133405132179369,0.21297549071756888,0.6655325213906105,0.11287427592396182,0.724768208921887,7769
stratified,4,ordinal_max_features5,0.20642718816840994,0.20613963727730217,0.6602302767265616,0.11287427592396182,0.7903827499831095,7769
stratified,4,ordinal_default,0.20383888274657339,0.2033937157122509,0.659215402332993,0.11287427592396182,0.7380461250431836,7769
stratified,5,onehot_sklearn_default,0.2197615892904709,0.21934149242411274,0.667663194250389,0.11287427592396182,0.8073676249478012,7811
stratified,6,onehot_sklearn_default,0.2181844601893721,0.21776962921933857,0.6614449219545155,0.11287427592396182,0.8097449160413817,7855
stratified,7,onehot_sklearn_default,0.2153024178188288,0.2148947840276846,0.6620018905523386,0.11287427592396182,0.8063697080360726,7751
stratified,8,onehot_sklearn_default,0.2095647591634163,0.20917151464434888,0.6580878213593726,0.11287427592396182,0.8137700830120593,7877
stratified,9,onehot_sklearn_default,0.2160851584088092,0.2156734004166323,0.6588931864850684,0.11287427592396182,0.809763583005406,7850
stratified,10,onehot_sklearn_default,0.22417690018717587,0.22372773522073996,0.6676384991784402,0.11287427592396182,0.8155421660048887,7840
stratified,11,onehot_sklearn_default,0.21535741385647572,0.21495521679390545,0.6681587326103527,0.11287427592396182,0.8145879580406472,7812
stratified,12,onehot_sklearn_default,0.21641571979165758,0.2161321006503492,0.6634252639792678,0.11287427592396182,0.8238502920139581,7868
stratified,13,onehot_sklearn_default,0.22025638940331843,0.2199171791541049,0.6621445187185572,0.11287427592396182,0.8074960830854252,7707
stratified,14,onehot_sklearn_default,0.223571193675043,0.22307608516407978,0.665189116971532,0.11287427592396182,0.8204934999812394,7834
stratified,15,onehot_sklearn_default,0.21785654270970445,0.21752605702675326,0.6642374011384894,0.11287427592396182,0.82334337499924,7781
stratified,16,onehot_sklearn_default,0.21203341099615353,0.2116693317462905,0.657975497004526,0.11287427592396182,0.8105265409685671,7757
stratified,17,onehot_sklearn_default,0.21469683633792652,0.21432044535951206,0.6590386647218383,0.11287427592396182,0.8130991669604555,7894
stratified,18,onehot_sklearn_default,0.21765990469068308,0.21728967166755586,0.6629401287922785,0.11287427592396182,0.8181435409933329,7731
stratified,19,onehot_sklearn_default,0.22262256966742225,0.22232030659567056,0.6648727175941203,0.11287427592396182,0.8175820000469685,7808
unstratified,0,onehot_sklearn_default,0.2134809335906266,0.2130294086433829,0.6582729777441853,0.11295586195643306,0.8223244169494137,7769
unstratified,0,onehot_max_features5,0.2106871960988395,0.2102371168731623,0.6541386126215406,0.11295586195643306,0.7214260000037029,7769
unstratified,0,onehot_log2,0.2096653684222559,0.2092334595637567,0.654397730814197,0.11295586195643306,0.7351563329575583,7769
unstratified,0,ordinal_max_features5,0.2008560152032746,0.2003550708550195,0.6515681741011183,0.11295586195643306,0.7916578339645639,7769
unstratified,0,ordinal_default,0.20031285028872164,0.199952054535644,0.6496019018165926,0.11295586195643306,0.7322537919972092,7769
unstratified,1,onehot_sklearn_default,0.21304990287308256,0.21272886588966303,0.6552588434516052,0.11242555274536999,0.8481393749825656,7902
