split,ensemble_name,members,blend_type,threshold_strategy,top_fraction,n_flagged,positives_captured,precision_at_k,recall_at_k,base_rate,lift
test,avg_3_fe_indicator_d6_sqrt__old_summary_d6_sqrt__old_summary_d6_custom025,fe_indicator_d6_sqrt|old_summary_d6_sqrt|old_summary_d6_custom025,score_average,max_recall_precision_ge_0.20,0.05,525,155,0.29523809523809524,0.16454352441613587,0.0897484756097561,3.289616823374785
test,avg_3_fe_indicator_d6_sqrt__old_summary_d6_sqrt__old_summary_d6_custom025,fe_indicator_d6_sqrt|old_summary_d6_sqrt|old_summary_d6_custom025,score_average,max_recall_precision_ge_0.20,0.1,1050,245,0.23333333333333334,0.26008492569002123,0.0897484756097561,2.599858457183298
test,avg_3_fe_indicator_d6_sqrt__old_summary_d6_sqrt__old_summary_d6_custom025,fe_indicator_d6_sqrt|old_summary_d6_sqrt|old_summary_d6_custom025,score_average,max_recall_precision_ge_0.20,0.2,2100,361,0.1719047619047619,0.3832271762208068,0.0897484756097561,1.915405924577899
test,avg_4_fe_indicator_d6_sqrt__fe_rawage_d6_custom025__old_summary_d6_sqrt__old_indicator_d6_sqrt,fe_indicator_d6_sqrt|fe_rawage_d6_custom025|old_summary_d6_sqrt|old_indicator_d6_sqrt,score_average,max_recall_precision_ge_0.20,0.01,105,47,0.44761904761904764,0.049893842887473464,0.0897484756097561,4.987483570923062
test,avg_4_fe_indicator_d6_sqrt__fe_rawage_d6_custom025__old_summary_d6_sqrt__old_indicator_d6_sqrt,fe_indicator_d6_sqrt|fe_rawage_d6_custom025|old_summary_d6_sqrt|old_indicator_d6_sqrt,score_average,max_recall_precision_ge_0.20,0.05,525,156,0.29714285714285715,0.16560509554140126,0.0897484756097561,3.3108401577191384
test,avg_4_fe_indicator_d6_sqrt__fe_rawage_d6_custom025__old_summary_d6_sqrt__old_indicator_d6_sqrt,fe_indicator_d6_sqrt|fe_rawage_d6_custom025|old_summary_d6_sqrt|old_indicator_d6_sqrt,score_average,max_recall_precision_ge_0.20,0.1,1050,243,0.23142857142857143,0.25796178343949044,0.0897484756097561,2.5786351228389446
test,avg_4_fe_indicator_d6_sqrt__fe_rawage_d6_custom025__old_summary_d6_sqrt__old_indicator_d6_sqrt,fe_indicator_d6_sqrt|fe_rawage_d6_custom025|old_summary_d6_sqrt|old_indicator_d6_sqrt,score_average,max_recall_precision_ge_0.20,0.2,2100,365,0.1738095238095238,0.3874734607218684,0.0897484756097561,1.9366292589222525
test,avg_3_fe_rawage_d6_custom025__old_summary_d6_sqrt__old_indicator_d6_sqrt,fe_rawage_d6_custom025|old_summary_d6_sqrt|old_indicator_d6_sqrt,score_average,max_recall_precision_ge_0.20,0.01,105,51,0.4857142857142857,0.054140127388535034,0.0897484756097561,5.41195025781013
test,avg_3_fe_rawage_d6_custom025__old_summary_d6_sqrt__old_indicator_d6_sqrt,fe_rawage_d6_custom025|old_summary_d6_sqrt|old_indicator_d6_sqrt,score_average,max_recall_precision_ge_0.20,0.05,525,157,0.29904761904761906,0.16666666666666666,0.0897484756097561,3.332063492063492
test,avg_3_fe_rawage_d6_custom025__old_summary_d6_sqrt__old_indicator_d6_sqrt,fe_rawage_d6_custom025|old_summary_d6_sqrt|old_indicator_d6_sqrt,score_average,max_recall_precision_ge_0.20,0.1,1050,247,0.23523809523809525,0.262208067940552,0.0897484756097561,2.621081791527651
test,avg_3_fe_rawage_d6_custom025__old_summary_d6_sqrt__old_indicator_d6_sqrt,fe_rawage_d6_custom025|old_summary_d6_sqrt|old_indicator_d6_sqrt,score_average,max_recall_precision_ge_0.20,0.2,2100,360,0.17142857142857143,0.3821656050955414,0.0897484756097561,1.9101000909918107
test,avg_4_fe_summary_d6_custom025__fe_rawage_d6_custom025__old_summary_d6_sqrt__old_summary_d6_custom025,fe_summary_d6_custom025|fe_rawage_d6_custom025|old_summary_d6_sqrt|old_summary_d6_custom025,score_average,max_recall_precision_ge_0.20,0.01,105,50,0.47619047619047616,0.05307855626326964,0.0897484756097561,5.3058335860883625
test,avg_4_fe_summary_d6_custom025__fe_rawage_d6_custom025__old_summary_d6_sqrt__old_summary_d6_custom025,fe_summary_d6_custom025|fe_rawage_d6_custom025|old_summary_d6_sqrt|old_summary_d6_custom025,score_average,max_recall_precision_ge_0.20,0.05,525,159,0.3028571428571429,0.16878980891719744,0.0897484756097561,3.374510160752199
test,avg_4_fe_summary_d6_custom025__fe_rawage_d6_custom025__old_summary_d6_sqrt__old_summary_d6_custom025,fe_summary_d6_custom025|fe_rawage_d6_custom025|old_summary_d6_sqrt|old_summary_d6_custom025,score_average,max_recall_precision_ge_0.20,0.1,1050,245,0.23333333333333334,0.26008492569002123,0.0897484756097561,2.599858457183298
test,avg_4_fe_summary_d6_custom025__fe_rawage_d6_custom025__old_summary_d6_sqrt__old_summary_d6_custom025,fe_summary_d6_custom025|fe_rawage_d6_custom025|old_summary_d6_sqrt|old_summary_d6_custom025,score_average,max_recall_precision_ge_0.20,0.2,2100,359,0.17095238095238094,0.38110403397027603,0.0897484756097561,1.9047942574057222
test,avg_4_fe_indicator_d6_sqrt__fe_summary_d6_custom025__old_summary_d6_sqrt__old_indicator_d6_sqrt,fe_indicator_d6_sqrt|fe_summary_d6_custom025|old_summary_d6_sqrt|old_indicator_d6_sqrt,score_average,max_recall_precision_ge_0.20,0.01,105,50,0.47619047619047616,0.05307855626326964,0.0897484756097561,5.3058335860883625
test,avg_4_fe_indicator_d6_sqrt__fe_summary_d6_custom025__old_summary_d6_sqrt__old_indicator_d6_sqrt,fe_indicator_d6_sqrt|fe_summary_d6_custom025|old_summary_d6_sqrt|old_indicator_d6_sqrt,score_average,max_recall_precision_ge_0.20,0.05,525,157,0.29904761904761906,0.16666666666666666,0.0897484756097561,3.332063492063492
test,avg_4_fe_indicator_d6_sqrt__fe_summary_d6_custom025__old_summary_d6_sqrt__old_indicator_d6_sqrt,fe_indicator_d6_sqrt|fe_summary_d6_custom025|old_summary_d6_sqrt|old_indicator_d6_sqrt,score_average,max_recall_precision_ge_0.20,0.1,1050,245,0.23333333333333334,0.26008492569002123,0.0897484756097561,2.599858457183298
test,avg_4_fe_indicator_d6_sqrt__fe_summary_d6_custom025__old_summary_d6_sqrt__old_indicator_d6_sqrt,fe_indicator_d6_sqrt|fe_summary_d6_custom025|old_summary_d6_sqrt|old_indicator_d6_sqrt,score_average,max_recall_precision_ge_0.20,0.2,2100,366,0.1742857142857143,0.3885350318471338,0.0897484756097561,1.941935092508341
test,rankavg_3_fe_indicator_d6_sqrt__fe_summary_d6_custom025__old_summary_d6_sqrt,fe_indicator_d6_sqrt|fe_summary_d6_custom025|old_summary_d6_sqrt,rank_average,max_recall_precision_ge_0.15,0.01,105,48,0.45714285714285713,0.050955414012738856,0.0897484756097561,5.093600242644828
test,rankavg_3_fe_indicator_d6_sqrt__fe_summary_d6_custom025__old_summary_d6_sqrt,fe_indicator_d6_sqrt|fe_summary_d6_custom025|old_summary_d6_sqrt,rank_average,max_recall_precision_ge_0.15,0.05,525,156,0.29714285714285715,0.16560509554140126,0.0897484756097561,3.3108401577191384
test,rankavg_3_fe_indicator_d6_sqrt__fe_summary_d6_custom025__old_summary_d6_sqrt,fe_indicator_d6_sqrt|fe_summary_d6_custom025|old_summary_d6_sqrt,rank_average,max_recall_precision_ge_0.15,0.1,1050,247,0.23523809523809525,0.262208067940552,0.0897484756097561,2.621081791527651
test,rankavg_3_fe_indicator_d6_sqrt__fe_summary_d6_custom025__old_summary_d6_sqrt,fe_indicator_d6_sqrt|fe_summary_d6_custom025|old_summary_d6_sqrt,rank_average,max_recall_precision_ge_0.15,0.2,2100,362,0.17238095238095238,0.3842887473460722,0.0897484756097561,1.9207117581639874
