split,ensemble_name,members,blend_type,threshold_strategy,top_fraction,n_flagged,positives_captured,precision_at_k,recall_at_k,base_rate,lift
test,avg_2_fe_indicator_d6_sqrt__old_indicator_d6_sqrt,fe_indicator_d6_sqrt|old_indicator_d6_sqrt,score_average,best_f1,0.1,1050,245,0.23333333333333334,0.26008492569002123,0.0897484756097561,2.599858457183298
test,avg_2_fe_indicator_d6_sqrt__old_indicator_d6_sqrt,fe_indicator_d6_sqrt|old_indicator_d6_sqrt,score_average,best_f1,0.2,2100,372,0.17714285714285713,0.39490445859872614,0.0897484756097561,1.9737700940248708
test,avg_2_fe_indicator_d6_sqrt__old_indicator_d6_sqrt,fe_indicator_d6_sqrt|old_indicator_d6_sqrt,score_average,max_recall_precision_ge_0.20,0.01,105,45,0.42857142857142855,0.04777070063694268,0.0897484756097561,4.7752502274795265
test,avg_2_fe_indicator_d6_sqrt__old_indicator_d6_sqrt,fe_indicator_d6_sqrt|old_indicator_d6_sqrt,score_average,max_recall_precision_ge_0.20,0.05,525,159,0.3028571428571429,0.16878980891719744,0.0897484756097561,3.374510160752199
test,avg_2_fe_indicator_d6_sqrt__old_indicator_d6_sqrt,fe_indicator_d6_sqrt|old_indicator_d6_sqrt,score_average,max_recall_precision_ge_0.20,0.1,1050,245,0.23333333333333334,0.26008492569002123,0.0897484756097561,2.599858457183298
test,avg_2_fe_indicator_d6_sqrt__old_indicator_d6_sqrt,fe_indicator_d6_sqrt|old_indicator_d6_sqrt,score_average,max_recall_precision_ge_0.20,0.2,2100,372,0.17714285714285713,0.39490445859872614,0.0897484756097561,1.9737700940248708
test,avg_2_fe_indicator_d6_sqrt__old_indicator_d6_sqrt,fe_indicator_d6_sqrt|old_indicator_d6_sqrt,score_average,max_recall_precision_ge_0.15,0.01,105,45,0.42857142857142855,0.04777070063694268,0.0897484756097561,4.7752502274795265
test,avg_2_fe_indicator_d6_sqrt__old_indicator_d6_sqrt,fe_indicator_d6_sqrt|old_indicator_d6_sqrt,score_average,max_recall_precision_ge_0.15,0.05,525,159,0.3028571428571429,0.16878980891719744,0.0897484756097561,3.374510160752199
test,avg_2_fe_indicator_d6_sqrt__old_indicator_d6_sqrt,fe_indicator_d6_sqrt|old_indicator_d6_sqrt,score_average,max_recall_precision_ge_0.15,0.1,1050,245,0.23333333333333334,0.26008492569002123,0.0897484756097561,2.599858457183298
test,avg_2_fe_indicator_d6_sqrt__old_indicator_d6_sqrt,fe_indicator_d6_sqrt|old_indicator_d6_sqrt,score_average,max_recall_precision_ge_0.15,0.2,2100,372,0.17714285714285713,0.39490445859872614,0.0897484756097561,1.9737700940248708
test,avg_2_fe_indicator_d6_sqrt__old_indicator_d6_sqrt,fe_indicator_d6_sqrt|old_indicator_d6_sqrt,score_average,best_f2,0.01,105,45,0.42857142857142855,0.04777070063694268,0.0897484756097561,4.7752502274795265
test,avg_2_fe_indicator_d6_sqrt__old_indicator_d6_sqrt,fe_indicator_d6_sqrt|old_indicator_d6_sqrt,score_average,best_f2,0.05,525,159,0.3028571428571429,0.16878980891719744,0.0897484756097561,3.374510160752199
test,avg_2_fe_indicator_d6_sqrt__old_indicator_d6_sqrt,fe_indicator_d6_sqrt|old_indicator_d6_sqrt,score_average,best_f2,0.1,1050,245,0.23333333333333334,0.26008492569002123,0.0897484756097561,2.599858457183298
test,avg_2_fe_indicator_d6_sqrt__old_indicator_d6_sqrt,fe_indicator_d6_sqrt|old_indicator_d6_sqrt,score_average,best_f2,0.2,2100,372,0.17714285714285713,0.39490445859872614,0.0897484756097561,1.9737700940248708
test,avg_2_fe_summary_d6_custom025__old_summary_d6_sqrt,fe_summary_d6_custom025|old_summary_d6_sqrt,score_average,best_f1,0.01,105,51,0.4857142857142857,0.054140127388535034,0.0897484756097561,5.41195025781013
test,avg_2_fe_summary_d6_custom025__old_summary_d6_sqrt,fe_summary_d6_custom025|old_summary_d6_sqrt,score_average,best_f1,0.05,525,158,0.30095238095238097,0.16772823779193205,0.0897484756097561,3.3532868264078455
test,avg_2_fe_summary_d6_custom025__old_summary_d6_sqrt,fe_summary_d6_custom025|old_summary_d6_sqrt,score_average,best_f1,0.1,1050,245,0.23333333333333334,0.26008492569002123,0.0897484756097561,2.599858457183298
test,avg_2_fe_summary_d6_custom025__old_summary_d6_sqrt,fe_summary_d6_custom025|old_summary_d6_sqrt,score_average,best_f1,0.2,2100,361,0.1719047619047619,0.3832271762208068,0.0897484756097561,1.915405924577899
