threshold_strategy,threshold,pr_auc,roc_auc,recall,precision,f1,accuracy,tn,fp,fn,tp,dataset_name,split_mode,train_rows,test_rows,train_positive_rate,test_positive_rate,train_patients,test_patients,patient_overlap,model_name,fit_seconds,status
best_f1,0.5110239849538278,0.19839578059082083,0.6566616882835968,0.5081120943952803,0.18395407822720597,0.27011663236303046,0.6964373063753465,15707,6113,1334,1378,paper_all_rows_patient_group,patient_group_75_25,73521,24532,0.11362739897444267,0.11054948638512962,51472,17158,0,PaperRF_250_depth5_balanced,1.7573474999517202,ok
default_0.5,0.5,0.20298184429757932,0.6613912028963171,0.5800147492625368,0.1734097673905854,0.266994823050157,0.6479292352845263,14322,7498,1139,1573,paper_all_rows_patient_group,patient_group_75_25,73521,24532,0.11362739897444267,0.11054948638512962,51472,17158,0,PaperRF_250_depth8_balanced,1.9130890829255804,ok
best_f1,0.5113459572684462,0.20298184429757932,0.6613912028963171,0.5254424778761062,0.18422753716871365,0.272805590121566,0.6903228436328062,15510,6310,1287,1425,paper_all_rows_patient_group,patient_group_75_25,73521,24532,0.11362739897444267,0.11054948638512962,51472,17158,0,PaperRF_250_depth8_balanced,1.9130890829255804,ok
default_0.5,0.5,0.15104978491241106,0.6057311396002152,0.9823008849557522,0.1130298273155416,0.20273201171949318,0.14589108103701287,915,20905,48,2664,paper_all_rows_patient_group,patient_group_75_25,73521,24532,0.11362739897444267,0.11054948638512962,51472,17158,0,PaperGaussianNB,0.21697116596624255,ok
best_f1,0.9999999999999147,0.15104978491241106,0.6057311396002152,0.4944690265486726,0.15633014688738633,0.23755535872453498,0.6491113647480842,14583,7237,1371,1341,paper_all_rows_patient_group,patient_group_75_25,73521,24532,0.11362739897444267,0.11054948638512962,51472,17158,0,PaperGaussianNB,0.21697116596624255,ok
default_0.5,0.5,0.16549894422686834,0.6424862422339807,0.0,0.0,0.0,0.9091616300640297,15193,0,1518,0,first_encounter_hospice_removed,paper_random_75_25,50133,16711,0.09087826381824347,0.09083836993597032,50133,16711,0,PaperRF_250_depth5_unweighted,0.6389861250063404,ok
best_f1,0.10939732575795859,0.16549894422686834,0.6424862422339807,0.3181818181818182,0.18837753510140406,0.23664870161685447,0.813535994255281,13112,2081,1035,483,first_encounter_hospice_removed,paper_random_75_25,50133,16711,0.09087826381824347,0.09083836993597032,50133,16711,0,PaperRF_250_depth5_unweighted,0.6389861250063404,ok
default_0.5,0.5,0.15887884481623707,0.6403671096364241,0.5553359683794467,0.13590198291149444,0.218365496697319,0.6388606307222787,9833,5360,675,843,first_encounter_hospice_removed,paper_random_75_25,50133,16711,0.09087826381824347,0.09083836993597032,50133,16711,0,PaperRF_250_depth5_balanced,1.3049210000317544,ok
best_f1,0.5171582458248719,0.15887884481623707,0.6403671096364241,0.4650856389986825,0.14797736323621882,0.22451900143107012,0.7081563042307463,11128,4065,812,706,first_encounter_hospice_removed,paper_random_75_25,50133,16711,0.09087826381824347,0.09083836993597032,50133,16711,0,PaperRF_250_depth5_balanced,1.3049210000317544,ok
default_0.5,0.5,0.16037917648643085,0.6447141205639828,0.5375494071146245,0.13891726251276812,0.22077922077922077,0.6553168571599545,10135,5058,702,816,first_encounter_hospice_removed,paper_random_75_25,50133,16711,0.09087826381824347,0.09083836993597032,50133,16711,0,PaperRF_250_depth8_balanced,1.3811032079393044,ok
