experiment_type,split_name,feature_config,model_name,seed,n_columns,best_iteration,fit_seconds,split,threshold_strategy,top_fraction,n_flagged,positives_captured,precision_at_k,recall_at_k,base_rate,lift
feature_engineering_variant,patient_group_70_15_15,no_medication_detail,PlateauCatBoost_d6_lr002_custom025,42,130,1198,56.437014209106565,test,ranking,0.1,1483,412,0.27781523937963587,0.25198776758409785,0.1102643647154033,2.519537840685774
feature_engineering_variant,patient_group_70_15_15,no_medication_detail,PlateauCatBoost_d6_lr002_custom025,42,130,1198,56.437014209106565,test,ranking,0.2,2966,645,0.2174645987862441,0.3944954128440367,0.1102643647154033,1.972211052478549
feature_engineering_variant,patient_group_70_15_15,no_lab_interactions,PlateauCatBoost_d6_lr002_custom025,42,149,1108,62.19561974995304,test,ranking,0.01,149,72,0.48322147651006714,0.044036697247706424,0.1102643647154033,4.382390246905978
feature_engineering_variant,patient_group_70_15_15,no_lab_interactions,PlateauCatBoost_d6_lr002_custom025,42,149,1108,62.19561974995304,test,ranking,0.05,742,237,0.3194070080862534,0.14495412844036698,0.1102643647154033,2.896738297188358
feature_engineering_variant,patient_group_70_15_15,no_lab_interactions,PlateauCatBoost_d6_lr002_custom025,42,149,1108,62.19561974995304,test,ranking,0.1,1483,393,0.26500337154416725,0.24036697247706423,0.1102643647154033,2.4033455616250228
feature_engineering_variant,patient_group_70_15_15,no_lab_interactions,PlateauCatBoost_d6_lr002_custom025,42,149,1108,62.19561974995304,test,ranking,0.2,2966,644,0.21712744436952125,0.39388379204892965,0.1102643647154033,1.9691533609243186
feature_group_ablation,patient_group_70_15_15,all_features,PlateauCatBoost_d6_lr002_custom025,42,158,997,47.94478166603949,test,ranking,0.01,149,69,0.46308724832214765,0.04220183486238532,0.1102643647154033,4.199790653284896
feature_group_ablation,patient_group_70_15_15,all_features,PlateauCatBoost_d6_lr002_custom025,42,158,997,47.94478166603949,test,ranking,0.05,742,243,0.3274932614555256,0.14862385321100918,0.1102643647154033,2.9700734439526197
feature_group_ablation,patient_group_70_15_15,all_features,PlateauCatBoost_d6_lr002_custom025,42,158,997,47.94478166603949,test,ranking,0.1,1483,391,0.26365475387727577,0.23914373088685015,0.1102643647154033,2.3911147954081007
feature_group_ablation,patient_group_70_15_15,all_features,PlateauCatBoost_d6_lr002_custom025,42,158,997,47.94478166603949,test,ranking,0.2,2966,647,0.21813890761968982,0.39571865443425075,0.1102643647154033,1.9783264355870094
