experiment_type,ensemble_name,member_key,feature_config,model_name,negative_ratio,seed,n_members,train_subset_rows,n_columns,fit_seconds,best_iteration,split,threshold_strategy,top_fraction,n_flagged,positives_captured,precision_at_k,recall_at_k,base_rate,lift
history_negative_ratio_refinement_member,,NegRefineCat_d6_lr002_neg7.5_seed37,history_neg_ratio_refine_indicator_cat_interactions,NegRefineCat_d6_lr002_neg7.5_seed37,7.5,37,1,67150.0,199,69.29012162506115,1498.0,test,ranking,0.1,1483,413,0.2784895482130816,0.25259938837920487,0.1102643647154033,2.5256532237942344
history_negative_ratio_refinement_member,,NegRefineCat_d6_lr002_neg7.5_seed37,history_neg_ratio_refine_indicator_cat_interactions,NegRefineCat_d6_lr002_neg7.5_seed37,7.5,37,1,67150.0,199,69.29012162506115,1498.0,test,ranking,0.2,2966,662,0.2231962238705327,0.40489296636085625,0.1102643647154033,2.024191808900464
history_negative_ratio_refinement_member,,NegRefineCat_d6_lr002_neg7.5_seed202,history_neg_ratio_refine_indicator_cat_interactions,NegRefineCat_d6_lr002_neg7.5_seed202,7.5,202,1,67150.0,199,68.98934254201595,1474.0,test,ranking,0.01,149,77,0.5167785234899329,0.04709480122324159,0.1102643647154033,4.686722902941116
history_negative_ratio_refinement_member,,NegRefineCat_d6_lr002_neg7.5_seed202,history_neg_ratio_refine_indicator_cat_interactions,NegRefineCat_d6_lr002_neg7.5_seed202,7.5,202,1,67150.0,199,68.98934254201595,1474.0,test,ranking,0.05,742,252,0.33962264150943394,0.15412844036697249,0.1102643647154033,3.080076164099013
history_negative_ratio_refinement_member,,NegRefineCat_d6_lr002_neg7.5_seed202,history_neg_ratio_refine_indicator_cat_interactions,NegRefineCat_d6_lr002_neg7.5_seed202,7.5,202,1,67150.0,199,68.98934254201595,1474.0,test,ranking,0.1,1483,410,0.27646662171274444,0.25076452599388377,0.1102643647154033,2.507307074468853
history_negative_ratio_refinement_member,,NegRefineCat_d6_lr002_neg7.5_seed202,history_neg_ratio_refine_indicator_cat_interactions,NegRefineCat_d6_lr002_neg7.5_seed202,7.5,202,1,67150.0,199,68.98934254201595,1474.0,test,ranking,0.2,2966,664,0.22387053270397841,0.40611620795107034,0.1102643647154033,2.030307192008925
history_negative_ratio_refinement_member,,NegRefineCat_d6_lr002_neg7.5_seed404,history_neg_ratio_refine_indicator_cat_interactions,NegRefineCat_d6_lr002_neg7.5_seed404,7.5,404,1,67150.0,199,68.33258416701574,1496.0,test,ranking,0.01,149,80,0.5369127516778524,0.04892966360856269,0.1102643647154033,4.869322496562198
history_negative_ratio_refinement_member,,NegRefineCat_d6_lr002_neg7.5_seed404,history_neg_ratio_refine_indicator_cat_interactions,NegRefineCat_d6_lr002_neg7.5_seed404,7.5,404,1,67150.0,199,68.33258416701574,1496.0,test,ranking,0.05,742,249,0.33557951482479786,0.15229357798165138,0.1102643647154033,3.0434085907168824
history_negative_ratio_refinement_member,,NegRefineCat_d6_lr002_neg7.5_seed404,history_neg_ratio_refine_indicator_cat_interactions,NegRefineCat_d6_lr002_neg7.5_seed404,7.5,404,1,67150.0,199,68.33258416701574,1496.0,test,ranking,0.1,1483,417,0.28118678354686444,0.25504587155963304,0.1102643647154033,2.550114756228077
history_negative_ratio_refinement_member,,NegRefineCat_d6_lr002_neg7.5_seed404,history_neg_ratio_refine_indicator_cat_interactions,NegRefineCat_d6_lr002_neg7.5_seed404,7.5,404,1,67150.0,199,68.33258416701574,1496.0,test,ranking,0.2,2966,662,0.2231962238705327,0.40489296636085625,0.1102643647154033,2.024191808900464
history_negative_ratio_refinement_member,,NegRefineCat_d6_lr002_neg7.5_seed808,history_neg_ratio_refine_indicator_cat_interactions,NegRefineCat_d6_lr002_neg7.5_seed808,7.5,808,1,67150.0,199,67.14386879198719,1494.0,test,ranking,0.01,149,76,0.5100671140939598,0.046483180428134555,0.1102643647154033,4.625856371734089
history_negative_ratio_refinement_member,,NegRefineCat_d6_lr002_neg7.5_seed808,history_neg_ratio_refine_indicator_cat_interactions,NegRefineCat_d6_lr002_neg7.5_seed808,7.5,808,1,67150.0,199,67.14386879198719,1494.0,test,ranking,0.05,742,245,0.330188679245283,0.14984709480122324,0.1102643647154033,2.9945184928740405
