threshold,pr_auc,roc_auc,recall,precision,f1,accuracy,tn,fp,fn,tp,split,experiment_type,ensemble_name,member_key,feature_config,model_name,n_members,fit_seconds,best_iteration,threshold_strategy
0.13033164773198247,0.2700793497709918,0.6992692946785964,0.8729623383923553,0.1500048295180141,0.25601714474118037,0.4011014531218897,4492,8800,226,1553,validation,plateau_ensemble_member,,ens_full_summary__Cat_d6_lr002_l210_custom025,ens_full_summary,Cat_d6_lr002_l210_custom025,1,62.45196145900991,1299.0,max_recall_precision_ge_0.15
0.19877892620922047,0.2700793497709918,0.6992692946785964,0.6110174255199551,0.2,0.30135846964236207,0.6655829075708314,8944,4348,692,1087,validation,plateau_ensemble_member,,ens_full_summary__Cat_d6_lr002_l210_custom025,ens_full_summary,Cat_d6_lr002_l210_custom025,1,62.45196145900991,1299.0,max_recall_precision_ge_0.20
0.5,0.2281445677853215,0.6789803507605623,0.06299694189602446,0.4204081632653061,0.10957446808510639,0.8871054761262477,13051,142,1532,103,test,plateau_ensemble_member,,ens_full_summary__Cat_d6_lr002_l210_custom025,ens_full_summary,Cat_d6_lr002_l210_custom025,1,62.45196145900991,1299.0,default_0.5
0.26313980888355576,0.2281445677853215,0.6789803507605623,0.3706422018348624,0.22954545454545455,0.28350877192982454,0.7934313461019692,11159,2034,1029,606,test,plateau_ensemble_member,,ens_full_summary__Cat_d6_lr002_l210_custom025,ens_full_summary,Cat_d6_lr002_l210_custom025,1,62.45196145900991,1299.0,best_f1
0.15076971159100613,0.2281445677853215,0.6789803507605623,0.7779816513761468,0.1526644263082093,0.25524229958864253,0.49939304019422714,6133,7060,363,1272,test,plateau_ensemble_member,,ens_full_summary__Cat_d6_lr002_l210_custom025,ens_full_summary,Cat_d6_lr002_l210_custom025,1,62.45196145900991,1299.0,best_f2
0.09410247617612799,0.2281445677853215,0.6789803507605623,0.964525993883792,0.12000608781675672,0.21345425013535463,0.21621257081197734,1629,11564,58,1577,test,plateau_ensemble_member,,ens_full_summary__Cat_d6_lr002_l210_custom025,ens_full_summary,Cat_d6_lr002_l210_custom025,1,62.45196145900991,1299.0,max_recall_precision_ge_0.12
0.14692146238551704,0.2281445677853215,0.6789803507605623,0.7926605504587156,0.15,0.25226277372262773,0.48185864580523335,5849,7344,339,1296,test,plateau_ensemble_member,,ens_full_summary__Cat_d6_lr002_l210_custom025,ens_full_summary,Cat_d6_lr002_l210_custom025,1,62.45196145900991,1299.0,max_recall_precision_ge_0.15
0.23003974123782522,0.2281445677853215,0.6789803507605623,0.46788990825688076,0.2,0.2802197802197802,0.7349608848125169,10133,3060,870,765,test,plateau_ensemble_member,,ens_full_summary__Cat_d6_lr002_l210_custom025,ens_full_summary,Cat_d6_lr002_l210_custom025,1,62.45196145900991,1299.0,max_recall_precision_ge_0.20
0.5,0.26934418545585637,0.6998774193253724,0.15120854412591345,0.39500734214390604,0.2186991869918699,0.8724703072125274,12880,412,1510,269,validation,plateau_ensemble_member,,ens_full_summary__Cat_d6_lr0015_l210_sqrt,ens_full_summary,Cat_d6_lr0015_l210_sqrt,1,85.59245899994858,1656.0,default_0.5
0.31271729613250765,0.26934418545585637,0.6998774193253724,0.47329960652051717,0.24634289057928613,0.32403309601693286,0.766903324265145,10716,2576,937,842,validation,plateau_ensemble_member,,ens_full_summary__Cat_d6_lr0015_l210_sqrt,ens_full_summary,Cat_d6_lr0015_l210_sqrt,1,85.59245899994858,1656.0,best_f1
0.22520717269617593,0.26934418545585637,0.6998774193253724,0.7307476110174255,0.1770634704440207,0.28505646310711547,0.567314710370911,7250,6042,479,1300,validation,plateau_ensemble_member,,ens_full_summary__Cat_d6_lr0015_l210_sqrt,ens_full_summary,Cat_d6_lr0015_l210_sqrt,1,85.59245899994858,1656.0,best_f2
0.09117263151935029,0.26934418545585637,0.6998774193253724,0.9943788645306352,0.12000542704022793,0.21416464891041162,0.13861057660407405,320,12972,10,1769,validation,plateau_ensemble_member,,ens_full_summary__Cat_d6_lr0015_l210_sqrt,ens_full_summary,Cat_d6_lr0015_l210_sqrt,1,85.59245899994858,1656.0,max_recall_precision_ge_0.12
0.176328588299738,0.26934418545585637,0.6998774193253724,0.8673412029229904,0.150009721952168,0.255781185246581,0.40422002521398714,4549,8743,236,1543,validation,plateau_ensemble_member,,ens_full_summary__Cat_d6_lr0015_l210_sqrt,ens_full_summary,Cat_d6_lr0015_l210_sqrt,1,85.59245899994858,1656.0,max_recall_precision_ge_0.15
0.26145060650591706,0.26934418545585637,0.6998774193253724,0.6087689713322091,0.2,0.3010842368640534,0.6663791387432818,8960,4332,696,1083,validation,plateau_ensemble_member,,ens_full_summary__Cat_d6_lr0015_l210_sqrt,ens_full_summary,Cat_d6_lr0015_l210_sqrt,1,85.59245899994858,1656.0,max_recall_precision_ge_0.20
0.5,0.22859158132498272,0.6788065490201807,0.11437308868501529,0.3280701754385965,0.16961451247165532,0.8765173995144322,12810,383,1448,187,test,plateau_ensemble_member,,ens_full_summary__Cat_d6_lr0015_l210_sqrt,ens_full_summary,Cat_d6_lr0015_l210_sqrt,1,85.59245899994858,1656.0,default_0.5
0.33058318091127453,0.22859158132498272,0.6788065490201807,0.38654434250764524,0.224591329068941,0.2841087884917959,0.785203668734826,11011,2182,1003,632,test,plateau_ensemble_member,,ens_full_summary__Cat_d6_lr0015_l210_sqrt,ens_full_summary,Cat_d6_lr0015_l210_sqrt,1,85.59245899994858,1656.0,best_f1
