threshold,pr_auc,roc_auc,recall,precision,f1,accuracy,tn,fp,fn,tp,experiment_type,ensemble_name,member_key,feature_config,model_name,row_order_seed,model_seed,random_strength,l2_leaf_reg,n_members,train_subset_rows,n_columns,fit_seconds,best_iteration,split,threshold_strategy
0.10033541127509873,0.28534507653481367,0.7108241281530925,0.7144463181562676,0.19086949992491364,0.3012562218535198,0.6087850839360361,7904,5388,508,1271,history_catboost_order_sensitivity_member,,OrderCat_same_seed_17,history_order_sensitivity_indicator_cat_interactions,OrderCat_same_seed_17,17,17,1.0,10.0,1,69444.0,199,70.71215245791245,1407.0,validation,best_f2
0.04042237417089313,0.28534507653481367,0.7108241281530925,0.9966273187183811,0.12,0.21420804639362087,0.13688540906376484,290,13002,6,1773,history_catboost_order_sensitivity_member,,OrderCat_same_seed_17,history_order_sensitivity_indicator_cat_interactions,OrderCat_same_seed_17,17,17,1.0,10.0,1,69444.0,199,70.71215245791245,1407.0,validation,max_recall_precision_ge_0.12
0.0703847798549357,0.28534507653481367,0.7108241281530925,0.8780213603147836,0.15000480169019495,0.25623359580052496,0.3983146440183133,4441,8851,217,1562,history_catboost_order_sensitivity_member,,OrderCat_same_seed_17,history_order_sensitivity_indicator_cat_interactions,OrderCat_same_seed_17,17,17,1.0,10.0,1,69444.0,199,70.71215245791245,1407.0,validation,max_recall_precision_ge_0.15
0.10673889471726421,0.28534507653481367,0.7108241281530925,0.670601461495222,0.2,0.3081095041322314,0.6444827815008958,8520,4772,586,1193,history_catboost_order_sensitivity_member,,OrderCat_same_seed_17,history_order_sensitivity_indicator_cat_interactions,OrderCat_same_seed_17,17,17,1.0,10.0,1,69444.0,199,70.71215245791245,1407.0,validation,max_recall_precision_ge_0.20
0.5,0.23704537777599646,0.6820076720325462,0.02874617737003058,0.5875,0.05481049562682216,0.8906797949824656,13160,33,1588,47,history_catboost_order_sensitivity_member,,OrderCat_same_seed_17,history_order_sensitivity_indicator_cat_interactions,OrderCat_same_seed_17,17,17,1.0,10.0,1,69444.0,199,70.71215245791245,1407.0,test,default_0.5
0.15206451307367214,0.23704537777599646,0.6820076720325462,0.39694189602446484,0.23286688195191962,0.2935323383084577,0.7893175074183977,11055,2138,986,649,history_catboost_order_sensitivity_member,,OrderCat_same_seed_17,history_order_sensitivity_indicator_cat_interactions,OrderCat_same_seed_17,17,17,1.0,10.0,1,69444.0,199,70.71215245791245,1407.0,test,best_f1
0.09286364146533715,0.23704537777599646,0.6820076720325462,0.7119266055045872,0.16309373686422868,0.265389876880985,0.5654167790666307,7220,5973,471,1164,history_catboost_order_sensitivity_member,,OrderCat_same_seed_17,history_order_sensitivity_indicator_cat_interactions,OrderCat_same_seed_17,17,17,1.0,10.0,1,69444.0,199,70.71215245791245,1407.0,test,best_f2
0.05270071490032714,0.23704537777599646,0.6820076720325462,0.9602446483180428,0.12000305740273638,0.2133442043755945,0.21917992986242243,1680,11513,65,1570,history_catboost_order_sensitivity_member,,OrderCat_same_seed_17,history_order_sensitivity_indicator_cat_interactions,OrderCat_same_seed_17,17,17,1.0,10.0,1,69444.0,199,70.71215245791245,1407.0,test,max_recall_precision_ge_0.12
0.08174945362858035,0.23704537777599646,0.6820076720325462,0.7737003058103975,0.15000592908810625,0.2512912197059992,0.49163744267601833,6025,7168,370,1265,history_catboost_order_sensitivity_member,,OrderCat_same_seed_17,history_order_sensitivity_indicator_cat_interactions,OrderCat_same_seed_17,17,17,1.0,10.0,1,69444.0,199,70.71215245791245,1407.0,test,max_recall_precision_ge_0.15
0.12956498716359485,0.23704537777599646,0.6820076720325462,0.4837920489296636,0.2,0.28300536672629695,0.7297005664958187,10029,3164,844,791,history_catboost_order_sensitivity_member,,OrderCat_same_seed_17,history_order_sensitivity_indicator_cat_interactions,OrderCat_same_seed_17,17,17,1.0,10.0,1,69444.0,199,70.71215245791245,1407.0,test,max_recall_precision_ge_0.20
0.5,0.2846219714317723,0.7095097669554709,0.04384485666104553,0.5735294117647058,0.0814621409921671,0.883285780638312,13234,58,1701,78,history_catboost_order_sensitivity_member,,OrderCat_same_seed_29,history_order_sensitivity_indicator_cat_interactions,OrderCat_same_seed_29,29,29,1.0,10.0,1,69444.0,199,69.3560556670418,1313.0,validation,default_0.5
0.16160408312048957,0.2846219714317723,0.7095097669554709,0.4142776840921866,0.27748493975903615,0.33235625704622324,0.8035299581978634,11373,1919,1042,737,history_catboost_order_sensitivity_member,,OrderCat_same_seed_29,history_order_sensitivity_indicator_cat_interactions,OrderCat_same_seed_29,29,29,1.0,10.0,1,69444.0,199,69.3560556670418,1313.0,validation,best_f1
0.09474997485396379,0.2846219714317723,0.7095097669554709,0.7436762225969646,0.1810344827586207,0.29118520964014527,0.572622918187247,7307,5985,456,1323,history_catboost_order_sensitivity_member,,OrderCat_same_seed_29,history_order_sensitivity_indicator_cat_interactions,OrderCat_same_seed_29,29,29,1.0,10.0,1,69444.0,199,69.3560556670418,1313.0,validation,best_f2
0.04158296576682299,0.2846219714317723,0.7095097669554709,0.9960652051714446,0.12000541785182176,0.21420368691447567,0.13734987724769424,298,12994,7,1772,history_catboost_order_sensitivity_member,,OrderCat_same_seed_29,history_order_sensitivity_indicator_cat_interactions,OrderCat_same_seed_29,29,29,1.0,10.0,1,69444.0,199,69.3560556670418,1313.0,validation,max_recall_precision_ge_0.12
0.07092599304911781,0.2846219714317723,0.7095097669554709,0.8707138842046094,0.15000968429207825,0.25592730276745146,0.4023621524782695,4515,8777,230,1549,history_catboost_order_sensitivity_member,,OrderCat_same_seed_29,history_order_sensitivity_indicator_cat_interactions,OrderCat_same_seed_29,29,29,1.0,10.0,1,69444.0,199,69.3560556670418,1313.0,validation,max_recall_precision_ge_0.15
0.10792542703251032,0.2846219714317723,0.7095097669554709,0.6666666666666666,0.2,0.3076923076923077,0.6458761860526839,8548,4744,593,1186,history_catboost_order_sensitivity_member,,OrderCat_same_seed_29,history_order_sensitivity_indicator_cat_interactions,OrderCat_same_seed_29,29,29,1.0,10.0,1,69444.0,199,69.3560556670418,1313.0,validation,max_recall_precision_ge_0.20
0.5,0.23729725641677019,0.6813691627313252,0.03241590214067278,0.5888888888888889,0.06144927536231884,0.890814674939304,13156,37,1582,53,history_catboost_order_sensitivity_member,,OrderCat_same_seed_29,history_order_sensitivity_indicator_cat_interactions,OrderCat_same_seed_29,29,29,1.0,10.0,1,69444.0,199,69.3560556670418,1313.0,test,default_0.5
