threshold,pr_auc,roc_auc,recall,precision,f1,accuracy,tn,fp,fn,tp,experiment_type,ensemble_name,member_key,feature_config,model_name,negative_ratio,seed,n_members,train_subset_rows,n_columns,fit_seconds,best_iteration,split,threshold_strategy
0.1694650453724717,0.28664998394716396,0.7105196429335662,0.4513771781899944,0.2675774741752749,0.33598326359832636,0.7893968548868688,11094,2198,976,803,history_negative_ratio_refinement_member,,NegRefineCat_d6_lr002_neg7_seed202,history_neg_ratio_refine_indicator_cat_interactions,NegRefineCat_d6_lr002_neg7_seed202,7.0,202,1,63200.0,199,62.129774667089805,1479.0,validation,best_f1
0.10799113455783434,0.28664998394716396,0.7105196429335662,0.7318718381112985,0.18327702702702703,0.29314420803782504,0.5833720390153274,7490,5802,477,1302,history_negative_ratio_refinement_member,,NegRefineCat_d6_lr002_neg7_seed202,history_neg_ratio_refine_indicator_cat_interactions,NegRefineCat_d6_lr002_neg7_seed202,7.0,202,1,63200.0,199,62.129774667089805,1479.0,validation,best_f2
0.04407879282290471,0.28664998394716396,0.7105196429335662,0.9955030916245081,0.12000271039436237,0.2141863699582754,0.13774799283391945,305,12987,8,1771,history_negative_ratio_refinement_member,,NegRefineCat_d6_lr002_neg7_seed202,history_neg_ratio_refine_indicator_cat_interactions,NegRefineCat_d6_lr002_neg7_seed202,7.0,202,1,63200.0,199,62.129774667089805,1479.0,validation,max_recall_precision_ge_0.12
0.0781322831447879,0.28664998394716396,0.7105196429335662,0.8752107925801011,0.15,0.2561065877128053,0.3998407537655099,4469,8823,222,1557,history_negative_ratio_refinement_member,,NegRefineCat_d6_lr002_neg7_seed202,history_neg_ratio_refine_indicator_cat_interactions,NegRefineCat_d6_lr002_neg7_seed202,7.0,202,1,63200.0,199,62.129774667089805,1479.0,validation,max_recall_precision_ge_0.15
0.12101132733167257,0.28664998394716396,0.7105196429335662,0.6610455311973018,0.2,0.3070896983940462,0.6478667639838099,8588,4704,603,1176,history_negative_ratio_refinement_member,,NegRefineCat_d6_lr002_neg7_seed202,history_neg_ratio_refine_indicator_cat_interactions,NegRefineCat_d6_lr002_neg7_seed202,7.0,202,1,63200.0,199,62.129774667089805,1479.0,validation,max_recall_precision_ge_0.20
0.5,0.23740209714668958,0.6837617298210454,0.039755351681957186,0.52,0.07386363636363637,0.8900728351766928,13133,60,1570,65,history_negative_ratio_refinement_member,,NegRefineCat_d6_lr002_neg7_seed202,history_neg_ratio_refine_indicator_cat_interactions,NegRefineCat_d6_lr002_neg7_seed202,7.0,202,1,63200.0,199,62.129774667089805,1479.0,test,default_0.5
0.15051618643861656,0.23740209714668958,0.6837617298210454,0.47155963302752296,0.20832207511483383,0.28898050974512746,0.744132721877529,10263,2930,864,771,history_negative_ratio_refinement_member,,NegRefineCat_d6_lr002_neg7_seed202,history_neg_ratio_refine_indicator_cat_interactions,NegRefineCat_d6_lr002_neg7_seed202,7.0,202,1,63200.0,199,62.129774667089805,1479.0,test,best_f1
0.09257284267702928,0.23740209714668958,0.6837617298210454,0.7737003058103975,0.1529255319148936,0.25537498738265874,0.5024952792015106,6186,7007,370,1265,history_negative_ratio_refinement_member,,NegRefineCat_d6_lr002_neg7_seed202,history_neg_ratio_refine_indicator_cat_interactions,NegRefineCat_d6_lr002_neg7_seed202,7.0,202,1,63200.0,199,62.129774667089805,1479.0,test,best_f2
0.05761814110959693,0.23740209714668958,0.6837617298210454,0.962691131498471,0.12000609942055505,0.21340926038912617,0.21749393040194226,1651,11542,61,1574,history_negative_ratio_refinement_member,,NegRefineCat_d6_lr002_neg7_seed202,history_neg_ratio_refine_indicator_cat_interactions,NegRefineCat_d6_lr002_neg7_seed202,7.0,202,1,63200.0,199,62.129774667089805,1479.0,test,max_recall_precision_ge_0.12
0.08990944751344182,0.23740209714668958,0.6837617298210454,0.7859327217125383,0.15001167406023816,0.25193608469757867,0.4853655246830321,5912,7281,350,1285,history_negative_ratio_refinement_member,,NegRefineCat_d6_lr002_neg7_seed202,history_neg_ratio_refine_indicator_cat_interactions,NegRefineCat_d6_lr002_neg7_seed202,7.0,202,1,63200.0,199,62.129774667089805,1479.0,test,max_recall_precision_ge_0.15
0.14370650372372715,0.23740209714668958,0.6837617298210454,0.5021406727828747,0.2,0.28606271777003484,0.72363096843809,9909,3284,814,821,history_negative_ratio_refinement_member,,NegRefineCat_d6_lr002_neg7_seed202,history_neg_ratio_refine_indicator_cat_interactions,NegRefineCat_d6_lr002_neg7_seed202,7.0,202,1,63200.0,199,62.129774667089805,1479.0,test,max_recall_precision_ge_0.20
0.5,0.2863675654918778,0.7104645395667548,0.05171444631815627,0.5609756097560976,0.09469891919711786,0.883285780638312,13220,72,1687,92,history_negative_ratio_refinement_member,,NegRefineCat_d6_lr002_neg7_seed404,history_neg_ratio_refine_indicator_cat_interactions,NegRefineCat_d6_lr002_neg7_seed404,7.0,404,1,63200.0,199,61.627603208995424,1464.0,validation,default_0.5
0.17110007179082007,0.2863675654918778,0.7104645395667548,0.42945474985947163,0.27363896848137537,0.3342813388755196,0.798089045186119,11264,2028,1015,764,history_negative_ratio_refinement_member,,NegRefineCat_d6_lr002_neg7_seed404,history_neg_ratio_refine_indicator_cat_interactions,NegRefineCat_d6_lr002_neg7_seed404,7.0,404,1,63200.0,199,61.627603208995424,1464.0,validation,best_f1
0.10624549845708475,0.2863675654918778,0.7104645395667548,0.7352445193929174,0.18401800787844683,0.294362552042309,0.5839028597969611,7492,5800,471,1308,history_negative_ratio_refinement_member,,NegRefineCat_d6_lr002_neg7_seed404,history_neg_ratio_refine_indicator_cat_interactions,NegRefineCat_d6_lr002_neg7_seed404,7.0,404,1,63200.0,199,61.627603208995424,1464.0,validation,best_f2
0.045127868215398055,0.2863675654918778,0.7104645395667548,0.9949409780775716,0.12,0.21416903623933692,0.13814610842014466,312,12980,9,1770,history_negative_ratio_refinement_member,,NegRefineCat_d6_lr002_neg7_seed404,history_neg_ratio_refine_indicator_cat_interactions,NegRefineCat_d6_lr002_neg7_seed404,7.0,404,1,63200.0,199,61.627603208995424,1464.0,validation,max_recall_precision_ge_0.12
0.07801169132510237,0.2863675654918778,0.7104645395667548,0.8724002248454188,0.15000966557123527,0.256,0.4014332161104107,4498,8794,227,1552,history_negative_ratio_refinement_member,,NegRefineCat_d6_lr002_neg7_seed404,history_neg_ratio_refine_indicator_cat_interactions,NegRefineCat_d6_lr002_neg7_seed404,7.0,404,1,63200.0,199,61.627603208995424,1464.0,validation,max_recall_precision_ge_0.15
0.11960482558982465,0.2863675654918778,0.7104645395667548,0.6537380550871276,0.2,0.30629444298130104,0.6504545152942738,8640,4652,616,1163,history_negative_ratio_refinement_member,,NegRefineCat_d6_lr002_neg7_seed404,history_neg_ratio_refine_indicator_cat_interactions,NegRefineCat_d6_lr002_neg7_seed404,7.0,404,1,63200.0,199,61.627603208995424,1464.0,validation,max_recall_precision_ge_0.20
0.5,0.238415178559016,0.6822607948659642,0.03669724770642202,0.5405405405405406,0.06872852233676977,0.8903425950903696,13142,51,1575,60,history_negative_ratio_refinement_member,,NegRefineCat_d6_lr002_neg7_seed404,history_neg_ratio_refine_indicator_cat_interactions,NegRefineCat_d6_lr002_neg7_seed404,7.0,404,1,63200.0,199,61.627603208995424,1464.0,test,default_0.5
0.16314512937564832,0.238415178559016,0.6822607948659642,0.40305810397553515,0.22483793926987378,0.28865527814279457,0.780954950094416,10921,2272,976,659,history_negative_ratio_refinement_member,,NegRefineCat_d6_lr002_neg7_seed404,history_neg_ratio_refine_indicator_cat_interactions,NegRefineCat_d6_lr002_neg7_seed404,7.0,404,1,63200.0,199,61.627603208995424,1464.0,test,best_f1
0.10305064658817173,0.238415178559016,0.6822607948659642,0.7113149847094801,0.16331975846089034,0.2656464138876199,0.5663609387644996,7235,5958,472,1163,history_negative_ratio_refinement_member,,NegRefineCat_d6_lr002_neg7_seed404,history_neg_ratio_refine_indicator_cat_interactions,NegRefineCat_d6_lr002_neg7_seed404,7.0,404,1,63200.0,199,61.627603208995424,1464.0,test,best_f2
0.057793091077890005,0.238415178559016,0.6822607948659642,0.962079510703364,0.12000305157155935,0.21338940514142304,0.21789857027245751,1658,11535,62,1573,history_negative_ratio_refinement_member,,NegRefineCat_d6_lr002_neg7_seed404,history_neg_ratio_refine_indicator_cat_interactions,NegRefineCat_d6_lr002_neg7_seed404,7.0,404,1,63200.0,199,61.627603208995424,1464.0,test,max_recall_precision_ge_0.12
0.08954355864981266,0.238415178559016,0.6822607948659642,0.7828746177370031,0.1500058596038908,0.25177025963808025,0.48691664418667385,5940,7253,355,1280,history_negative_ratio_refinement_member,,NegRefineCat_d6_lr002_neg7_seed404,history_neg_ratio_refine_indicator_cat_interactions,NegRefineCat_d6_lr002_neg7_seed404,7.0,404,1,63200.0,199,61.627603208995424,1464.0,test,max_recall_precision_ge_0.15
