experiment_type,feature_config,model_name,trial_number,negative_ratio,row_order_seed,model_seed,iterations,learning_rate,depth,l2_leaf_reg,random_strength,border_count,bootstrap_type,bagging_temperature,subsample,class_weight_mode,pos_weight_multiplier,n_columns,train_subset_rows,fit_seconds,best_iteration,objective,split,threshold_strategy,top_fraction,n_flagged,positives_captured,precision_at_k,recall_at_k,base_rate,lift
history_catboost_optuna,history_optuna_indicator_cat_interactions,OptunaCat_trial003,3,8.002856173035067,37,149,1100,0.030229198632524934,6,7.791409580038064,0.5271167005720473,254,Bayesian,0.6375574713552131,,sqrt,,199,69444,36.644517082953826,591,validation_pr_auc,test,ranking,0.2,2966,653,0.22016183412002696,0.39938837920489295,0.1102643647154033,1.9966725849123912
history_catboost_optuna,history_optuna_indicator_cat_interactions,OptunaCat_trial004,4,7.69499912892957,313,107,1100,0.015315997753766925,6,20.790887376789588,2.121461166512687,128,Default,,,sqrt,,199,68690,46.594828541972674,1089,validation_pr_auc,test,ranking,0.01,149,71,0.47651006711409394,0.04342507645259939,0.1102643647154033,4.321523715698951
history_catboost_optuna,history_optuna_indicator_cat_interactions,OptunaCat_trial004,4,7.69499912892957,313,107,1100,0.015315997753766925,6,20.790887376789588,2.121461166512687,128,Default,,,sqrt,,199,68690,46.594828541972674,1089,validation_pr_auc,test,ranking,0.05,742,244,0.3288409703504043,0.1492354740061162,0.1102643647154033,2.9822959684133306
history_catboost_optuna,history_optuna_indicator_cat_interactions,OptunaCat_trial004,4,7.69499912892957,313,107,1100,0.015315997753766925,6,20.790887376789588,2.121461166512687,128,Default,,,sqrt,,199,68690,46.594828541972674,1089,validation_pr_auc,test,ranking,0.1,1483,417,0.28118678354686444,0.25504587155963304,0.1102643647154033,2.550114756228077
history_catboost_optuna,history_optuna_indicator_cat_interactions,OptunaCat_trial004,4,7.69499912892957,313,107,1100,0.015315997753766925,6,20.790887376789588,2.121461166512687,128,Default,,,sqrt,,199,68690,46.594828541972674,1089,validation_pr_auc,test,ranking,0.2,2966,650,0.2191503708698584,0.39755351681957185,0.1102643647154033,1.9874995102497004
history_catboost_optuna,history_optuna_indicator_cat_interactions,OptunaCat_trial005,5,7.589679386287527,37,73,1400,0.014651808682060135,5,13.156110627166498,1.7551287236845647,128,Bernoulli,,0.8983897417941735,none,,199,67858,53.138940708944574,1397,validation_pr_auc,test,ranking,0.01,149,79,0.5302013422818792,0.048318042813455656,0.1102643647154033,4.808455965355171
history_catboost_optuna,history_optuna_indicator_cat_interactions,OptunaCat_trial005,5,7.589679386287527,37,73,1400,0.014651808682060135,5,13.156110627166498,1.7551287236845647,128,Bernoulli,,0.8983897417941735,none,,199,67858,53.138940708944574,1397,validation_pr_auc,test,ranking,0.05,742,250,0.33692722371967654,0.1529051987767584,0.1102643647154033,3.0556311151775923
history_catboost_optuna,history_optuna_indicator_cat_interactions,OptunaCat_trial005,5,7.589679386287527,37,73,1400,0.014651808682060135,5,13.156110627166498,1.7551287236845647,128,Bernoulli,,0.8983897417941735,none,,199,67858,53.138940708944574,1397,validation_pr_auc,test,ranking,0.1,1483,414,0.2791638570465273,0.25321100917431194,0.1102643647154033,2.5317686069026952
history_catboost_optuna,history_optuna_indicator_cat_interactions,OptunaCat_trial005,5,7.589679386287527,37,73,1400,0.014651808682060135,5,13.156110627166498,1.7551287236845647,128,Bernoulli,,0.8983897417941735,none,,199,67858,53.138940708944574,1397,validation_pr_auc,test,ranking,0.2,2966,654,0.22049898853674982,0.4,0.1102643647154033,1.9997302764666216
history_catboost_optuna,history_optuna_indicator_cat_interactions,OptunaCat_trial006,6,6.675883957922913,17,257,1700,0.02516715878975783,6,6.285059256043011,1.8243584426950719,254,Bayesian,0.6496328990472147,,none,,199,60639,72.75651416694745,1588,validation_pr_auc,test,ranking,0.01,149,77,0.5167785234899329,0.04709480122324159,0.1102643647154033,4.686722902941116
history_catboost_optuna,history_optuna_indicator_cat_interactions,OptunaCat_trial006,6,6.675883957922913,17,257,1700,0.02516715878975783,6,6.285059256043011,1.8243584426950719,254,Bayesian,0.6496328990472147,,none,,199,60639,72.75651416694745,1588,validation_pr_auc,test,ranking,0.05,742,251,0.33827493261455527,0.15351681957186544,0.1102643647154033,3.067853639638303
history_catboost_optuna,history_optuna_indicator_cat_interactions,OptunaCat_trial006,6,6.675883957922913,17,257,1700,0.02516715878975783,6,6.285059256043011,1.8243584426950719,254,Bayesian,0.6496328990472147,,none,,199,60639,72.75651416694745,1588,validation_pr_auc,test,ranking,0.1,1483,412,0.27781523937963587,0.25198776758409785,0.1102643647154033,2.519537840685774
history_catboost_optuna,history_optuna_indicator_cat_interactions,OptunaCat_trial006,6,6.675883957922913,17,257,1700,0.02516715878975783,6,6.285059256043011,1.8243584426950719,254,Bayesian,0.6496328990472147,,none,,199,60639,72.75651416694745,1588,validation_pr_auc,test,ranking,0.2,2966,657,0.22151045178691842,0.4018348623853211,0.1102643647154033,2.008903351129313
