threshold,pr_auc,roc_auc,recall,precision,f1,accuracy,tn,fp,fn,tp,experiment_type,feature_config,model_name,n_columns,fit_seconds,best_iteration,split,threshold_strategy
0.5,0.2836120908286606,0.7095749775399861,0.10342889263631254,0.4972972972972973,0.17124243834341554,0.8818260234888196,13106,186,1595,184,patient_history_features,history_full_indicator,HistoryCat_d6_lr0015_custom025,195,71.83345779194497,1519,validation,default_0.5
0.25738488678421395,0.2836120908286606,0.7095749775399861,0.43676222596964587,0.274364406779661,0.33702016916070265,0.7971601088182603,11237,2055,1002,777,patient_history_features,history_full_indicator,HistoryCat_d6_lr0015_custom025,195,71.83345779194497,1519,validation,best_f1
0.1697134039271866,0.2836120908286606,0.7095749775399861,0.7234401349072512,0.18372591006423983,0.2930327868852459,0.5879503682569173,7574,5718,492,1287,patient_history_features,history_full_indicator,HistoryCat_d6_lr0015_custom025,195,71.83345779194497,1519,validation,best_f2
0.07162107786835659,0.2836120908286606,0.7095749775399861,0.9932546374367622,0.12,0.21412990790111489,0.13940680777652445,334,12958,12,1767,patient_history_features,history_full_indicator,HistoryCat_d6_lr0015_custom025,195,71.83345779194497,1519,validation,max_recall_precision_ge_0.12
0.12528320541345306,0.2836120908286606,0.7095749775399861,0.8763350196739741,0.15000481093043394,0.256161682550115,0.39924358038617214,4458,8834,220,1559,patient_history_features,history_full_indicator,HistoryCat_d6_lr0015_custom025,195,71.83345779194497,1519,validation,max_recall_precision_ge_0.15
0.18869358303352987,0.2836120908286606,0.7095749775399861,0.6503653738055087,0.2,0.3059227921734532,0.6516488620529494,8664,4628,622,1157,patient_history_features,history_full_indicator,HistoryCat_d6_lr0015_custom025,195,71.83345779194497,1519,validation,max_recall_precision_ge_0.20
0.5,0.23554458846452248,0.6831924816028145,0.08256880733944955,0.4272151898734177,0.13839056893900564,0.8866333962773132,13012,181,1500,135,patient_history_features,history_full_indicator,HistoryCat_d6_lr0015_custom025,195,71.83345779194497,1519,test,default_0.5
0.2567349795243416,0.23554458846452248,0.6831924816028145,0.39327217125382263,0.2325497287522604,0.2922727272727273,0.7899919072025897,11071,2122,992,643,patient_history_features,history_full_indicator,HistoryCat_d6_lr0015_custom025,195,71.83345779194497,1519,test,best_f1
0.14642927837556785,0.23554458846452248,0.6831924816028145,0.7767584097859327,0.15347432024169183,0.25630676084762866,0.5029673590504451,6188,7005,365,1270,patient_history_features,history_full_indicator,HistoryCat_d6_lr0015_custom025,195,71.83345779194497,1519,test,best_f2
0.093524875535392,0.23554458846452248,0.6831924816028145,0.9584097859327217,0.12000306325624138,0.21329884979241817,0.22046128945238738,1702,11491,68,1567,patient_history_features,history_full_indicator,HistoryCat_d6_lr0015_custom025,195,71.83345779194497,1519,test,max_recall_precision_ge_0.12
0.1431213707179016,0.23554458846452248,0.6831924816028145,0.782262996941896,0.15001172882946281,0.25174687530754847,0.48725384407876987,5946,7247,356,1279,patient_history_features,history_full_indicator,HistoryCat_d6_lr0015_custom025,195,71.83345779194497,1519,test,max_recall_precision_ge_0.15
0.21931689030959725,0.23554458846452248,0.6831924816028145,0.4954128440366973,0.2,0.2849604221635884,0.7258564877259239,9953,3240,825,810,patient_history_features,history_full_indicator,HistoryCat_d6_lr0015_custom025,195,71.83345779194497,1519,test,max_recall_precision_ge_0.20
0.5,0.28369393972079787,0.7098353546922949,0.10792580101180438,0.5026178010471204,0.17769551133734382,0.8820914338796364,13102,190,1587,192,patient_history_features,history_full_indicator,HistoryCat_d6_lr002_custom025,195,57.21431437507272,1279,validation,default_0.5
0.26119374135691065,0.28369393972079787,0.7098353546922949,0.43114109050028104,0.2766955266955267,0.3370687760931663,0.7998142127264283,11287,2005,1012,767,patient_history_features,history_full_indicator,HistoryCat_d6_lr002_custom025,195,57.21431437507272,1279,validation,best_f1
