experiment_type,feature_config,model_name,seed,depth,learning_rate,l2_leaf_reg,iterations,random_strength,bootstrap_type,n_columns,fit_seconds,best_iteration,split,threshold_strategy,top_fraction,n_flagged,positives_captured,precision_at_k,recall_at_k,base_rate,lift
history_catboost_seed_sweep,history_seed_sweep_indicator_cat_interactions,SeedSweep_d6_lr002_l210_seed404,404,6,0.02,10.0,1400,1.0,Default,199,65.19222841598094,1294,test,ranking,0.1,1483,415,0.279838165879973,0.25382262996941896,0.1102643647154033,2.5378839900111556
history_catboost_seed_sweep,history_seed_sweep_indicator_cat_interactions,SeedSweep_d6_lr002_l210_seed404,404,6,0.02,10.0,1400,1.0,Default,199,65.19222841598094,1294,test,ranking,0.2,2966,653,0.22016183412002696,0.39938837920489295,0.1102643647154033,1.9966725849123912
history_catboost_seed_sweep,history_seed_sweep_indicator_cat_interactions,SeedSweep_d6_lr002_l210_seed707,707,6,0.02,10.0,1400,1.0,Default,199,65.42283408308867,1395,test,ranking,0.01,149,75,0.5033557046979866,0.045871559633027525,0.1102643647154033,4.564989840527061
history_catboost_seed_sweep,history_seed_sweep_indicator_cat_interactions,SeedSweep_d6_lr002_l210_seed707,707,6,0.02,10.0,1400,1.0,Default,199,65.42283408308867,1395,test,ranking,0.05,742,256,0.3450134770889488,0.1565749235474006,0.1102643647154033,3.128966261941855
history_catboost_seed_sweep,history_seed_sweep_indicator_cat_interactions,SeedSweep_d6_lr002_l210_seed707,707,6,0.02,10.0,1400,1.0,Default,199,65.42283408308867,1395,test,ranking,0.1,1483,410,0.27646662171274444,0.25076452599388377,0.1102643647154033,2.507307074468853
history_catboost_seed_sweep,history_seed_sweep_indicator_cat_interactions,SeedSweep_d6_lr002_l210_seed707,707,6,0.02,10.0,1400,1.0,Default,199,65.42283408308867,1395,test,ranking,0.2,2966,656,0.22117329737019556,0.40122324159021405,0.1102643647154033,2.0058456595750824
history_catboost_seed_sweep,history_seed_sweep_indicator_cat_interactions,SeedSweep_d6_lr002_l210_seed909,909,6,0.02,10.0,1400,1.0,Default,199,64.96007199992891,1399,test,ranking,0.01,149,77,0.5167785234899329,0.04709480122324159,0.1102643647154033,4.686722902941116
history_catboost_seed_sweep,history_seed_sweep_indicator_cat_interactions,SeedSweep_d6_lr002_l210_seed909,909,6,0.02,10.0,1400,1.0,Default,199,64.96007199992891,1399,test,ranking,0.05,742,252,0.33962264150943394,0.15412844036697249,0.1102643647154033,3.080076164099013
history_catboost_seed_sweep,history_seed_sweep_indicator_cat_interactions,SeedSweep_d6_lr002_l210_seed909,909,6,0.02,10.0,1400,1.0,Default,199,64.96007199992891,1399,test,ranking,0.1,1483,412,0.27781523937963587,0.25198776758409785,0.1102643647154033,2.519537840685774
history_catboost_seed_sweep,history_seed_sweep_indicator_cat_interactions,SeedSweep_d6_lr002_l210_seed909,909,6,0.02,10.0,1400,1.0,Default,199,64.96007199992891,1399,test,ranking,0.2,2966,662,0.2231962238705327,0.40489296636085625,0.1102643647154033,2.024191808900464
history_catboost_seed_sweep,history_seed_sweep_indicator_cat_interactions,SeedSweep_d6_lr002_l25_seed202,202,6,0.02,5.0,1500,1.0,Default,199,70.1938439590158,1498,test,ranking,0.01,149,80,0.5369127516778524,0.04892966360856269,0.1102643647154033,4.869322496562198
history_catboost_seed_sweep,history_seed_sweep_indicator_cat_interactions,SeedSweep_d6_lr002_l25_seed202,202,6,0.02,5.0,1500,1.0,Default,199,70.1938439590158,1498,test,ranking,0.05,742,252,0.33962264150943394,0.15412844036697249,0.1102643647154033,3.080076164099013
history_catboost_seed_sweep,history_seed_sweep_indicator_cat_interactions,SeedSweep_d6_lr002_l25_seed202,202,6,0.02,5.0,1500,1.0,Default,199,70.1938439590158,1498,test,ranking,0.1,1483,406,0.2737693863789616,0.24831804281345565,0.1102643647154033,2.4828455420350104
history_catboost_seed_sweep,history_seed_sweep_indicator_cat_interactions,SeedSweep_d6_lr002_l25_seed202,202,6,0.02,5.0,1500,1.0,Default,199,70.1938439590158,1498,test,ranking,0.2,2966,656,0.22117329737019556,0.40122324159021405,0.1102643647154033,2.0058456595750824
history_catboost_seed_sweep,history_seed_sweep_indicator_cat_interactions,SeedSweep_d6_lr002_l220_seed202,202,6,0.02,20.0,1500,1.0,Default,199,67.22719104203861,1494,test,ranking,0.01,149,79,0.5302013422818792,0.048318042813455656,0.1102643647154033,4.808455965355171
history_catboost_seed_sweep,history_seed_sweep_indicator_cat_interactions,SeedSweep_d6_lr002_l220_seed202,202,6,0.02,20.0,1500,1.0,Default,199,67.22719104203861,1494,test,ranking,0.05,742,247,0.3328840970350404,0.1510703363914373,0.1102643647154033,3.0189635417954612
history_catboost_seed_sweep,history_seed_sweep_indicator_cat_interactions,SeedSweep_d6_lr002_l220_seed202,202,6,0.02,20.0,1500,1.0,Default,199,67.22719104203861,1494,test,ranking,0.1,1483,407,0.2744436952124073,0.2489296636085627,0.1102643647154033,2.4889609251434712
history_catboost_seed_sweep,history_seed_sweep_indicator_cat_interactions,SeedSweep_d6_lr002_l220_seed202,202,6,0.02,20.0,1500,1.0,Default,199,67.22719104203861,1494,test,ranking,0.2,2966,660,0.222521915037087,0.4036697247706422,0.1102643647154033,2.0180764257920036
history_catboost_seed_sweep,history_seed_sweep_indicator_cat_interactions,SeedSweep_d6_lr002_l230_seed202,202,6,0.02,30.0,1500,1.0,Default,199,68.18339445895981,1490,test,ranking,0.01,149,79,0.5302013422818792,0.048318042813455656,0.1102643647154033,4.808455965355171
history_catboost_seed_sweep,history_seed_sweep_indicator_cat_interactions,SeedSweep_d6_lr002_l230_seed202,202,6,0.02,30.0,1500,1.0,Default,199,68.18339445895981,1490,test,ranking,0.05,742,246,0.33153638814016173,0.15045871559633028,0.1102643647154033,3.006741017334751
