report_label,model_name,top_fraction,n_flagged,positives_captured,precision_at_k,recall_at_k,base_rate,lift
Validation-selected final model,NegRefineCat_d6_lr002_neg7.5_seed37,0.01,149,78,0.5234899328859061,0.0477064220183486,0.1102643647154033,4.747589434148144
Validation-selected final model,NegRefineCat_d6_lr002_neg7.5_seed37,0.05,742,248,0.3342318059299191,0.1516819571865443,0.1102643647154033,3.0311860662561716
Validation-selected final model,NegRefineCat_d6_lr002_neg7.5_seed37,0.1,1483,413,0.2784895482130816,0.2525993883792048,0.1102643647154033,2.5256532237942344
Validation-selected final model,NegRefineCat_d6_lr002_neg7.5_seed37,0.2,2966,662,0.2231962238705327,0.4048929663608562,0.1102643647154033,2.024191808900464
Best observed exploratory variant,NegRefineCat_d6_lr002_neg8_seed202,0.01,149,82,0.5503355704697986,0.0501529051987767,0.1102643647154033,4.991055558976253
Best observed exploratory variant,NegRefineCat_d6_lr002_neg8_seed202,0.05,742,256,0.3450134770889488,0.1565749235474006,0.1102643647154033,3.128966261941855
Best observed exploratory variant,NegRefineCat_d6_lr002_neg8_seed202,0.1,1483,415,0.279838165879973,0.2538226299694189,0.1102643647154033,2.5378839900111556
Best observed exploratory variant,NegRefineCat_d6_lr002_neg8_seed202,0.2,2966,658,0.2218476062036412,0.4024464831804281,0.1102643647154033,2.011961042683543
